case_id,activity,resource,timestamp,activity_duration,prefix_index,timesincelastevent,elapsed_time,remaining_time,open_cases,case_start_time,case_complete_time,scenario,method,l,simulation_run,process
1436,MOULDING_5,MOULDING_MACHINE_5,5103.384522162294,3.9245372052500898,1,0.0,0.0,30.426357170227675,1,5103.384522162294,5133.810879332522,experiment,FIFO,0.28,0,variant_2
1436,ASSEMBLY_1_4,LINE_4_ASSEMBLY1,5111.9171498426185,8.532627680324367,2,8.532627680324367,8.532627680324367,21.893729489903308,1,5103.384522162294,5133.810879332522,experiment,FIFO,0.28,0,variant_2
1436,ASSEMBLY_2_2,ASSEMBLY2_LINE_2,5117.241861285328,5.324711442709486,3,5.324711442709486,13.857339123033853,16.569018047193822,1,5103.384522162294,5133.810879332522,experiment,FIFO,0.28,0,variant_2
1436,SORTING,SORTING_ROBOT_1,5119.895341133289,2.653479847960625,4,2.653479847960625,16.510818970994478,13.915538199233197,3,5103.384522162294,5133.810879332522,experiment,FIFO,0.28,0,variant_2
1436,SORTING,SORTING_ROBOT_1,5132.084098649116,9.491420422973533,5,12.188757515827092,28.69957648682157,1.7267806834061048,5,5103.384522162294,5133.810879332522,experiment,FIFO,0.28,0,variant_2
1436,PACKAGING_1,PACKAGING_LINE_1,5133.810879332522,1.7267806834061048,6,1.7267806834061048,30.426357170227675,0.0,4,5103.384522162294,5133.810879332522,experiment,FIFO,0.28,0,variant_2
1438,MOULDING_3,MOULDING_MACHINE_3,5118.52133982888,0.9453362452395595,1,0.0,0.0,21.569135422575528,2,5118.52133982888,5140.090475251455,experiment,FIFO,0.28,0,variant_1
1438,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,5119.310023651614,0.7886838227341286,2,0.7886838227341286,0.7886838227341286,20.7804515998414,3,5118.52133982888,5140.090475251455,experiment,FIFO,0.28,0,variant_1
1438,ASSEMBLY_2_2,ASSEMBLY2_LINE_2,5123.220009119953,0.71433477726805,3,3.909985468339073,4.698669291073202,16.870466131502326,3,5118.52133982888,5140.090475251455,experiment,FIFO,0.28,0,variant_1
1438,SORTING,SORTING_ROBOT_1,5139.358007610368,1.023323597212766,4,16.137998490415157,20.83666778148836,0.7324676410871689,5,5118.52133982888,5140.090475251455,experiment,FIFO,0.28,0,variant_1
