case_id,cycle_time_minutes
0,5.333333333333334e-10
1,4.999999999999999e-10
2,4.833333333333333e-10
3,6.833333333333334e-10
4,9.833333333333332e-10
5,4e-10
6,4e-10
7,1.0166666666666667e-09
8,7.5e-10
9,4.999999999999999e-10
10,9e-10
11,7.5e-10
12,1.0166666666666667e-09
13,2.666666666666667e-10
14,1.65e-09
15,4.166666666666666e-10
16,1.0499999999999999e-09
17,9.833333333333332e-10
18,1.3333333333333333e-09
19,1.9833333333333333e-09
20,6.166666666666667e-10
21,4.999999999999999e-10
22,1.0666666666666667e-09
23,1.6666666666666665e-09
24,1.45e-09
25,6.166666666666667e-10
26,1.25e-09
27,7.5e-10
28,5.833333333333334e-10
29,2.666666666666667e-10
30,9.166666666666667e-10
31,8.5e-10
32,9.166666666666667e-10
33,9.833333333333332e-10
34,1.3499999999999999e-09
35,9.999999999999999e-10
36,4.833333333333333e-10
37,1.1333333333333333e-09
38,4.5e-10
39,1.6e-09
40,8e-10
41,7.166666666666667e-10
42,8e-10
43,1.2166666666666668e-09
44,8.333333333333332e-10
45,1.1833333333333334e-09
46,1.5833333333333334e-09
47,8.166666666666667e-10
48,1.3333333333333333e-09
49,4.666666666666666e-10
50,1.3833333333333333e-09
51,1.4833333333333334e-09
52,1.8833333333333332e-09
53,1.8166666666666666e-09
54,1.6e-09
55,8.5e-10
56,1.4166666666666665e-09
57,1.3833333333333333e-09
58,4.3333333333333334e-10
59,1.1333333333333333e-09
60,9.166666666666667e-10
61,1.45e-09
62,5.333333333333334e-10
63,1.0333333333333333e-09
64,4.3333333333333334e-10
65,5.166666666666666e-10
66,9.833333333333332e-10
67,8.5e-10
68,1.2166666666666668e-09
69,1.5333333333333334e-09
70,9.666666666666666e-10
71,1.3833333333333333e-09
72,9.999999999999999e-10
73,9.333333333333332e-10
74,9.666666666666666e-10
75,1.0666666666666667e-09
76,1.2e-09
77,2.2e-09
78,8.666666666666667e-10
79,1.4e-09
80,1.4166666666666665e-09
81,7.166666666666667e-10
82,9e-10
83,1.0666666666666667e-09
84,1.1833333333333334e-09
85,1.7e-09
86,2.1833333333333334e-09
87,7.833333333333333e-10
88,1.8666666666666664e-09
89,1.5833333333333334e-09
90,6.166666666666667e-10
91,1.55e-09
92,1.6e-09
93,1.7666666666666666e-09
94,7.333333333333333e-10
95,5.833333333333334e-10
96,1.9e-09
97,1.9333333333333333e-09
98,1.1333333333333333e-09
99,8.666666666666667e-10
100,1.2333333333333334e-09
101,1.7666666666666666e-09
102,8.666666666666667e-10
103,1.6333333333333335e-09
104,1.9166666666666665e-09
105,1.2666666666666668e-09
106,1.2e-09
107,1.75e-09
108,1.4833333333333334e-09
109,1.3833333333333333e-09
110,1.2999999999999999e-09
111,1.3833333333333333e-09
112,1.3666666666666667e-09
113,9.833333333333332e-10
114,1.3166666666666667e-09
115,8.5e-10
116,1.1333333333333333e-09
117,1.2833333333333335e-09
118,9.333333333333332e-10
119,1.0166666666666667e-09
120,1.0166666666666667e-09
121,8.5e-10
122,8.666666666666667e-10
123,1.2166666666666668e-09
124,9.5e-10
125,6.499999999999999e-10
126,8.5e-10
127,1.5666666666666666e-09
128,1.5333333333333334e-09
129,1.9166666666666665e-09
130,8.833333333333333e-10
131,9.833333333333332e-10
132,1.4e-09
133,8.333333333333332e-10
134,8e-10
135,1.4333333333333333e-09
136,1.1166666666666667e-09
137,1.1e-09
138,1.55e-09
139,1.1333333333333333e-09
140,1.2333333333333334e-09
141,8.666666666666667e-10
142,1.0166666666666667e-09
143,9.5e-10
144,1.1e-09
145,8.166666666666667e-10
146,7.166666666666667e-10
147,9e-10
148,9.833333333333332e-10
149,8.833333333333333e-10
150,7.166666666666667e-10
151,5.833333333333334e-10
152,6.166666666666667e-10
153,7.333333333333333e-10
154,9e-10
155,1.1e-09
156,5.333333333333334e-10
157,5.666666666666667e-10
158,5.666666666666667e-10
159,8.833333333333333e-10
160,1.0166666666666667e-09
161,4e-10
162,1.1166666666666667e-09
163,4.833333333333333e-10
164,1.0499999999999999e-09
165,7e-10
166,7.833333333333333e-10
167,8.833333333333333e-10
168,1.0166666666666667e-09
169,9.333333333333332e-10
170,1.95e-09
171,1.1333333333333333e-09
