case_id,cycle_time_minutes
0,5.166666666666666e-10
1,8e-10
2,5.333333333333334e-10
3,6.833333333333334e-10
4,4.999999999999999e-10
5,7e-10
6,7.666666666666667e-10
7,7e-10
8,4e-10
9,1.1833333333333334e-09
10,7e-10
11,1.6666666666666666e-10
12,9.5e-10
13,7e-10
14,1.4e-09
15,9.166666666666667e-10
16,1.0833333333333333e-09
17,6.166666666666667e-10
18,1.25e-09
19,9.999999999999999e-10
20,1.4166666666666665e-09
21,8.5e-10
22,2.7333333333333334e-09
23,6.333333333333334e-10
24,5.333333333333334e-10
25,1.4166666666666665e-09
26,1.2e-09
27,2.1666666666666666e-09
28,6.833333333333334e-10
29,8.833333333333333e-10
30,7.166666666666667e-10
31,1.2666666666666668e-09
32,2.016666666666667e-09
33,1.0666666666666667e-09
34,1.5833333333333334e-09
35,8.166666666666667e-10
36,8e-10
37,7.333333333333333e-10
38,3.166666666666667e-10
39,7.333333333333333e-10
40,9.166666666666667e-10
41,7.833333333333333e-10
42,1.2999999999999999e-09
43,8.166666666666667e-10
44,1.25e-09
45,1.2333333333333334e-09
46,1.0333333333333333e-09
47,1.15e-09
48,1.3666666666666667e-09
49,1.2333333333333334e-09
50,1.25e-09
51,1.4333333333333333e-09
52,1.4833333333333334e-09
53,9.999999999999999e-10
54,1.3666666666666667e-09
55,1.4333333333333333e-09
56,2.7333333333333334e-09
57,1.1166666666666667e-09
58,1.1166666666666667e-09
59,8.333333333333332e-10
60,1.5e-09
61,1.0166666666666667e-09
62,1.55e-09
63,1.9166666666666665e-09
64,1.4166666666666665e-09
65,1.1166666666666667e-09
66,4.066666666666667e-09
67,1.4333333333333333e-09
68,2.1833333333333334e-09
69,2.4166666666666664e-09
70,2.65e-09
71,1.3833333333333333e-09
72,2.1500000000000002e-09
73,2.0833333333333334e-09
74,2.283333333333333e-09
75,2.9e-09
76,1.45e-09
77,2.7666666666666666e-09
78,1.0333333333333333e-09
79,3.733333333333333e-09
80,2.55e-09
81,2.6166666666666665e-09
82,1.8666666666666664e-09
83,1.5333333333333334e-09
84,2.6666666666666666e-09
85,1.8166666666666666e-09
86,2.6833333333333334e-09
87,2.4333333333333336e-09
88,1.8333333333333334e-09
89,2.5e-09
90,1.8666666666666664e-09
91,2.466666666666667e-09
92,3.4166666666666667e-09
93,1.8e-09
94,2.3666666666666668e-09
95,2.25e-09
96,2.1666666666666666e-09
97,1.6666666666666665e-09
98,1.7e-09
99,2.116666666666667e-09
100,1.6666666666666665e-09
101,1.7e-09
102,2.2e-09
103,2.3666666666666668e-09
