case_id,cycle_time_minutes
0,4.3333333333333334e-10
1,4.166666666666666e-10
2,3.6666666666666664e-10
3,5.833333333333334e-10
4,6.166666666666667e-10
5,3e-10
6,4.3333333333333334e-10
7,3.5e-10
8,1.2666666666666668e-09
9,1.2333333333333334e-09
10,1.2e-09
11,3.166666666666667e-10
12,8.666666666666667e-10
13,3.166666666666667e-10
14,7.166666666666667e-10
15,9.999999999999999e-10
16,7e-10
17,6.499999999999999e-10
18,1.15e-09
19,9.999999999999999e-10
20,6.833333333333334e-10
21,1.4166666666666665e-09
22,5.5e-10
23,3.8333333333333335e-10
24,8.166666666666667e-10
25,9e-10
26,9.166666666666667e-10
27,8.833333333333333e-10
28,6e-10
29,1.6166666666666667e-09
30,1.0499999999999999e-09
31,1.1166666666666667e-09
32,1.1833333333333334e-09
33,8.333333333333332e-10
34,8.833333333333333e-10
35,1.3166666666666667e-09
36,1.25e-09
37,1.0166666666666667e-09
38,6.166666666666667e-10
39,1.1333333333333333e-09
40,8.333333333333332e-10
41,7e-10
42,5.833333333333334e-10
43,5.5e-10
44,7.833333333333333e-10
45,5.666666666666667e-10
46,8.166666666666667e-10
47,1.0166666666666667e-09
48,8.833333333333333e-10
49,4.666666666666666e-10
50,7.5e-10
51,2.666666666666667e-10
52,6.333333333333334e-10
53,3e-10
54,6.166666666666667e-10
55,5.833333333333334e-10
56,2.8333333333333334e-10
57,2.4999999999999996e-10
58,9.333333333333332e-10
59,1.8333333333333332e-10
60,3.6666666666666664e-10
61,1.5166666666666666e-09
62,6.499999999999999e-10
63,3e-10
64,8.833333333333333e-10
65,8e-10
66,9.333333333333332e-10
67,1.3499999999999999e-09
68,8e-10
69,9.666666666666666e-10
70,4.5e-10
71,9.166666666666667e-10
72,9.5e-10
73,3.333333333333333e-10
74,1.0166666666666667e-09
75,5.5e-10
76,4.166666666666666e-10
77,3.166666666666667e-10
78,8e-10
79,3.166666666666667e-10
80,4.833333333333333e-10
81,4.666666666666666e-10
82,5.666666666666667e-10
83,3.6666666666666664e-10
84,5.333333333333334e-10
85,6.833333333333334e-10
86,3e-10
87,1.0166666666666667e-09
88,8.333333333333332e-10
89,4.3333333333333334e-10
90,1.2333333333333334e-09
91,5.333333333333334e-10
92,5.166666666666666e-10
93,1.3833333333333333e-09
94,5.333333333333334e-10
95,9.833333333333332e-10
96,8.833333333333333e-10
97,9.833333333333332e-10
98,1.2666666666666668e-09
99,1.0333333333333333e-09
100,9e-10
101,1.1666666666666668e-09
102,6.833333333333334e-10
103,1.8666666666666664e-09
104,1.8333333333333334e-09
105,1.9833333333333333e-09
106,9.666666666666666e-10
107,1.5833333333333334e-09
108,6e-10
109,1.55e-09
110,6.333333333333334e-10
111,9.666666666666666e-10
112,6.833333333333334e-10
113,1.8833333333333332e-09
114,1.3666666666666667e-09
115,1.0166666666666667e-09
116,1.6e-09
117,8.833333333333333e-10
118,1.1166666666666667e-09
119,1.3666666666666667e-09
120,1.7166666666666665e-09
121,1.4833333333333334e-09
122,1.7333333333333333e-09
123,7.833333333333333e-10
124,1.2999999999999999e-09
125,1.2999999999999999e-09
126,1.9999999999999997e-09
127,1.65e-09
128,1.3166666666666667e-09
129,1.85e-09
130,9.833333333333332e-10
131,1.6666666666666665e-09
132,1.75e-09
133,1.7166666666666665e-09
134,2.383333333333333e-09
135,1.3833333333333333e-09
136,1.0333333333333333e-09
137,1.7e-09
138,1.6833333333333333e-09
139,1.4833333333333334e-09
140,1.3333333333333333e-09
