method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero,open_cases_true
FIFO,6,0,10761.51564389554,variant_5,0.28,running,2964,SORTING,SORTING_ROBOT_1,10764.880765640955,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,16
FIFO,6,0,10762.156246195493,variant_4,0.28,running,2973,ASSEMBLY_1,LINE_ASSEMBLY1_4,10766.096910742035,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,16
FIFO,6,0,10762.156246195493,variant_4,0.28,gateway,2973,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,6,C1,5,0.97,strong_all,16
FIFO,6,0,10762.156246195493,variant_4,0.28,queued,2973,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},10762.156246195493,0,experiment,pooled,6,C1,5,0.97,strong_all,16
FIFO,6,0,10762.158281279317,variant_6,0.28,queued,2979,MOULDING,,,,{},10762.158281279317,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10762.158281279317,variant_6,0.28,running,2979,MOULDING,MOULDING_MACHINE_3,10772.9441497955,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10762.158281279317,variant_6,0.28,START,2979,START,,,,{},,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10762.559002660484,variant_2,0.28,running,2961,ASSEMBLY_2,ASSEMBLY2_LINE_1,10766.45223758267,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10762.559002660484,variant_4,0.28,gateway,2969,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10762.559002660484,variant_4,0.28,queued,2969,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},10762.559002660484,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10762.699183753492,variant_6,0.28,gateway,2977,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10762.699183753492,variant_6,0.28,queued,2977,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_5'},10762.699183753492,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10764.880765640955,variant_5,0.28,gateway,2964,QC_AFTER_SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10764.880765640955,variant_5,0.28,queued,2964,PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},10764.880765640955,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10764.880765640955,variant_5,0.28,running,2964,PACKAGING,PACKAGING_LINE_3,10765.121928407236,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10764.880765640955,variant_4,0.28,running,2969,SORTING,SORTING_ROBOT_1,10766.364044740678,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10765.121928407236,variant_5,0.28,gateway,2964,QC_AFTER_PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10765.121928407236,variant_5,0.28,COMPLETE,2964,END,,,43.10963818982236,,,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10765.53348059134,variant_5,0.28,START,2980,START,,,,{},,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10765.53348059134,variant_5,0.28,queued,2980,MOULDING,,,,{},10765.53348059134,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10765.53348059134,variant_5,0.28,running,2980,MOULDING,MOULDING_MACHINE_5,10769.984055893046,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10765.624009257212,variant_1,0.28,queued,2981,MOULDING,,,,{},10765.624009257212,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10765.624009257212,variant_1,0.28,running,2981,MOULDING,MOULDING_MACHINE_2,10783.79232556022,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10765.624009257212,variant_1,0.28,START,2981,START,,,,{},,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.096910742035,variant_4,0.28,gateway,2973,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.096910742035,variant_4,0.28,queued,2973,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_2'},10766.096910742035,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.364044740678,variant_4,0.28,gateway,2969,QC_AFTER_SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.364044740678,variant_4,0.28,queued,2969,PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},10766.364044740678,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.364044740678,variant_4,0.28,running,2969,PACKAGING,PACKAGING_LINE_3,10768.411140148495,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.45223758267,variant_6,0.28,running,2971,ASSEMBLY_2,ASSEMBLY2_LINE_1,10772.047981494252,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.45223758267,variant_2,0.28,gateway,2961,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.45223758267,variant_2,0.28,queued,2961,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},10766.45223758267,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.45223758267,variant_2,0.28,running,2961,SORTING,SORTING_ROBOT_1,10766.515524667417,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.515524667417,variant_2,0.28,gateway,2961,QC_AFTER_SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10766.515524667417,variant_2,0.28,queued,2961,PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},10766.515524667417,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10768.411140148495,variant_4,0.28,gateway,2969,QC_AFTER_PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10768.411140148495,variant_2,0.28,running,2961,PACKAGING,PACKAGING_LINE_3,10772.716931576466,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10768.411140148495,variant_4,0.28,COMPLETE,2969,END,,,24.64823279425036,,,0,experiment,pooled,6,C1,5,0.97,strong_all,18
FIFO,6,0,10768.514893434884,variant_4,0.28,queued,2968,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_2'},10768.514893434884,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10768.514893434884,variant_4,0.28,gateway,2968,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10769.337865888829,variant_5,0.28,COMPLETE,2965,END,,,45.97672662598052,,,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10769.337865888829,variant_5,0.28,gateway,2965,QC_AFTER_PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,6,C1,5,0.97,strong_all,17
FIFO,6,0,10769.984055893046,variant_5,0.28,gateway,2980,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,6,C1,5,0.97,strong_all,16
FIFO,6,0,10769.984055893046,variant_5,0.28,queued,2980,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},10769.984055893046,0,experiment,pooled,6,C1,5,0.97,strong_all,16
