method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero,open_cases_true
FIFO,6,0,23191.72600128473,variant_2,0.28,gateway,6614,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_1', 'a1_lane': 'ASSEMBLY_1_3'}",,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23191.72600128473,variant_2,0.28,queued,6614,ASSEMBLY_1_3,,,,"{'moulding_lane': 'ASSEMBLY_1_1', 'a1_lane': 'ASSEMBLY_1_3'}",23191.72600128473,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23191.72600128473,variant_2,0.28,gateway,6614,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.04499178616,variant_3,0.28,queued,6616,ASSEMBLY_1_4,,,,"{'moulding_lane': 'ASSEMBLY_1_5', 'a1_lane': 'ASSEMBLY_1_4'}",23192.04499178616,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.04499178616,variant_3,0.28,running,6616,ASSEMBLY_1_4,LINE_4_ASSEMBLY1,23200.96568864905,,,,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.04499178616,variant_3,0.28,gateway,6616,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.04499178616,variant_3,0.28,gateway,6616,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_5', 'a1_lane': 'ASSEMBLY_1_4'}",,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.139263329504,variant_6,0.28,gateway,6570,QC_AFTER_SORTING,,,,"{'moulding_lane': 'ASSEMBLY_1_4', 'a1_lane': 'ASSEMBLY_1_4'}",,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.139263329504,variant_6,0.28,queued,6570,PACKAGING,,,,"{'moulding_lane': 'ASSEMBLY_1_4', 'a1_lane': 'ASSEMBLY_1_4'}",23192.139263329504,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.139263329504,variant_6,0.28,running,6570,PACKAGING,PACKAGING_LINE_2,23194.34592866688,,,,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.139263329504,variant_4,0.28,running,6583,SORTING,SORTING_ROBOT_1,23194.75320126412,,,,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.534695361406,variant_5,0.28,gateway,6602,QC_AFTER_A1_1,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.534695361406,variant_5,0.28,queued,6602,ASSEMBLY_2,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",23192.534695361406,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.534695361406,variant_2,0.28,running,6608,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,23196.027065589973,,,,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.871142657823,variant_1,0.28,running,6601,ASSEMBLY_2,ASSEMBLY2_LINE_2,23203.684600112832,,,,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.871142657823,variant_1,0.28,gateway,6598,QC_AFTER_A2,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23192.871142657823,variant_1,0.28,queued,6598,SORTING,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",23192.871142657823,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23193.01752652459,variant_1,0.28,gateway,6611,QC_AFTER_A2,,,,"{'moulding_lane': 'ASSEMBLY_1_1', 'a1_lane': 'ASSEMBLY_1_3'}",,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23193.01752652459,variant_1,0.28,queued,6611,SORTING,,,,"{'moulding_lane': 'ASSEMBLY_1_1', 'a1_lane': 'ASSEMBLY_1_3'}",23193.01752652459,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23193.01752652459,variant_2,0.28,running,6606,ASSEMBLY_2,ASSEMBLY2_LINE_1,23196.45020383149,,,,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23194.34592866688,variant_6,0.28,gateway,6570,QC_AFTER_PACKAGING,,,,"{'moulding_lane': 'ASSEMBLY_1_4', 'a1_lane': 'ASSEMBLY_1_4'}",,0,experiment,hybrid30,6,C1,5,0.97,identical,41
FIFO,6,0,23194.34592866688,variant_6,0.28,COMPLETE,6570,END,,,138.30323227300687,,,0,experiment,hybrid30,6,C1,5,0.97,identical,41
