method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero,open_cases_true
FIFO,18,0,25007.23497367272,variant_15,0.28,queued,6908,PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},25007.23497367272,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25007.23497367272,variant_15,0.28,running,6908,PACKAGING,PACKAGING_LINE_2,25011.728579672323,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25007.31022284055,variant_11,0.28,gateway,6909,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25007.31022284055,variant_11,0.28,queued,6909,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},25007.31022284055,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25007.31022284055,variant_11,0.28,running,6909,ASSEMBLY_1,LINE_ASSEMBLY1_1,25013.800160331703,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25008.121329504927,variant_18,0.28,gateway,6910,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25008.121329504927,variant_18,0.28,queued,6910,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},25008.121329504927,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25008.121329504927,variant_18,0.28,running,6910,ASSEMBLY_1,LINE_ASSEMBLY1_4,25009.75641667813,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25009.75641667813,variant_18,0.28,running,6910,ASSEMBLY_2,ASSEMBLY2_LINE_2,25014.941797118467,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25009.75641667813,variant_18,0.28,queued,6910,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},25009.75641667813,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25009.75641667813,variant_18,0.28,gateway,6910,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,5,0.97,mild_all,3
FIFO,18,0,25010.66866555372,variant_10,0.28,START,6911,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all,4
FIFO,18,0,25010.66866555372,variant_10,0.28,queued,6911,MOULDING,,,,{},25010.66866555372,0,experiment,pooled,18,C1,5,0.97,mild_all,4
FIFO,18,0,25010.66866555372,variant_10,0.28,running,6911,MOULDING,MOULDING_MACHINE_1,25010.68183044881,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,4
FIFO,18,0,25010.68183044881,variant_10,0.28,gateway,6911,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,18,C1,5,0.97,mild_all,4
FIFO,18,0,25010.68183044881,variant_10,0.28,queued,6911,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_1'},25010.68183044881,0,experiment,pooled,18,C1,5,0.97,mild_all,4
FIFO,18,0,25010.68183044881,variant_10,0.28,running,6911,ASSEMBLY_1,LINE_ASSEMBLY1_2,25015.17944431951,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,4
FIFO,18,0,25011.37471741367,variant_11,0.28,START,6912,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25011.37471741367,variant_11,0.28,queued,6912,MOULDING,,,,{},25011.37471741367,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25011.37471741367,variant_11,0.28,running,6912,MOULDING,MOULDING_MACHINE_2,25017.01619914026,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25011.728579672323,variant_15,0.28,gateway,6908,QC_AFTER_PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25011.728579672323,variant_15,0.28,COMPLETE,6908,END,,,24.98460306061316,,,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25013.363608685133,variant_15,0.28,START,6913,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25013.363608685133,variant_15,0.28,queued,6913,MOULDING,,,,{},25013.363608685133,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25013.363608685133,variant_15,0.28,running,6913,MOULDING,MOULDING_MACHINE_5,25013.671835624293,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25013.671835624293,variant_15,0.28,running,6913,ASSEMBLY_1,LINE_ASSEMBLY1_3,25023.232667355125,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25013.671835624293,variant_15,0.28,queued,6913,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},25013.671835624293,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25013.671835624293,variant_15,0.28,gateway,6913,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25013.800160331703,variant_11,0.28,gateway,6909,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25013.800160331703,variant_11,0.28,queued,6909,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_3'},25013.800160331703,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25013.800160331703,variant_11,0.28,running,6909,ASSEMBLY_2,ASSEMBLY2_LINE_1,25016.616426021912,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25014.941797118467,variant_18,0.28,gateway,6910,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25014.941797118467,variant_18,0.28,queued,6910,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},25014.941797118467,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25014.941797118467,variant_18,0.28,running,6910,SORTING,SORTING_ROBOT_1,25022.1065691578,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25015.17944431951,variant_10,0.28,gateway,6911,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25015.17944431951,variant_10,0.28,queued,6911,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_1'},25015.17944431951,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25015.17944431951,variant_10,0.28,running,6911,ASSEMBLY_2,ASSEMBLY2_LINE_2,25016.29952651149,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25016.29952651149,variant_10,0.28,gateway,6911,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25016.29952651149,variant_10,0.28,queued,6911,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},25016.29952651149,0,experiment,pooled,18,C1,5,0.97,mild_all,5
FIFO,18,0,25016.564778718537,variant_3,0.28,START,6914,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all,6
FIFO,18,0,25016.564778718537,variant_3,0.28,queued,6914,MOULDING,,,,{},25016.564778718537,0,experiment,pooled,18,C1,5,0.97,mild_all,6
FIFO,18,0,25016.564778718537,variant_3,0.28,running,6914,MOULDING,MOULDING_MACHINE_3,25021.316113990622,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,6
FIFO,18,0,25016.616426021912,variant_11,0.28,queued,6909,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},25016.616426021912,0,experiment,pooled,18,C1,5,0.97,mild_all,6
FIFO,18,0,25016.616426021912,variant_11,0.28,gateway,6909,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,5,0.97,mild_all,6
FIFO,18,0,25017.01619914026,variant_11,0.28,gateway,6912,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,18,C1,5,0.97,mild_all,6
FIFO,18,0,25017.01619914026,variant_11,0.28,queued,6912,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},25017.01619914026,0,experiment,pooled,18,C1,5,0.97,mild_all,6
FIFO,18,0,25017.01619914026,variant_11,0.28,running,6912,ASSEMBLY_1,LINE_ASSEMBLY1_5,25021.556980536778,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,6
FIFO,18,0,25018.00225952341,variant_5,0.28,START,6915,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all,7
FIFO,18,0,25018.00225952341,variant_5,0.28,queued,6915,MOULDING,,,,{},25018.00225952341,0,experiment,pooled,18,C1,5,0.97,mild_all,7
FIFO,18,0,25018.00225952341,variant_5,0.28,running,6915,MOULDING,MOULDING_MACHINE_4,25027.59053097216,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,7
FIFO,18,0,25020.20116315077,variant_17,0.28,queued,6916,MOULDING,,,,{},25020.20116315077,0,experiment,pooled,18,C1,5,0.97,mild_all,8
FIFO,18,0,25020.20116315077,variant_17,0.28,running,6916,MOULDING,MOULDING_MACHINE_1,25026.73128310887,,,,0,experiment,pooled,18,C1,5,0.97,mild_all,8
FIFO,18,0,25020.20116315077,variant_17,0.28,START,6916,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all,8
FIFO,18,0,25021.316113990622,variant_3,0.28,gateway,6914,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,5,0.97,mild_all,8
FIFO,18,0,25021.316113990622,variant_3,0.28,queued,6914,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},25021.316113990622,0,experiment,pooled,18,C1,5,0.97,mild_all,8
