method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data
FIFO,18,0,3022.516795553277,variant_8,0.0155555555555555,running,822,SORTING,SORTING_ROBOT,3023.626858446847,,
FIFO,18,0,3022.6938113730225,variant_14,0.0155555555555555,gateway,835,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'}
FIFO,18,0,3022.6938113730225,variant_14,0.0155555555555555,gateway,835,ROUTE_TO_A1,,,,{'moulding_lane': 'ASSEMBLY_1_5'}
FIFO,18,0,3022.6938113730225,variant_14,0.0155555555555555,queued,835,ASSEMBLY_1_5,,,,
FIFO,18,0,3022.876098334447,variant_5,0.0155555555555555,gateway,819,QC_AFTER_PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_2'}
FIFO,18,0,3022.876098334447,variant_5,0.0155555555555555,COMPLETE,819,END,,,56.30434382680824,
FIFO,18,0,3023.3757864258746,variant_13,0.0155555555555555,gateway,827,QC_AFTER_ASSEMBLY2,,,,{'moulding_lane': 'ASSEMBLY_1_2'}
FIFO,18,0,3023.3757864258746,variant_13,0.0155555555555555,queued,827,SORTING,,,,
FIFO,18,0,3023.3757864258746,variant_11,0.0155555555555555,running,829,ASSEMBLY_2,ASSEMBLY2_LINE_2,3026.469381330162,,
FIFO,18,0,3023.626858446847,variant_7,0.0155555555555555,running,807,SORTING,SORTING_ROBOT,3027.218060665836,,
FIFO,18,0,3023.626858446847,variant_8,0.0155555555555555,gateway,822,QC_AFTER_SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_2'}
FIFO,18,0,3023.626858446847,variant_8,0.0155555555555555,queued,822,PACKAGING,,,,
FIFO,18,0,3023.626858446847,variant_8,0.0155555555555555,running,822,PACKAGING,PACKAGING_LINE_3,3027.787647705688,,
FIFO,18,0,3025.8683047814925,variant_5,0.0155555555555555,gateway,836,QC_AFTER_ASSEMBLY1_3,,,,{'moulding_lane': 'ASSEMBLY_1_3'}
FIFO,18,0,3025.8683047814925,variant_5,0.0155555555555555,queued,836,ASSEMBLY_2,,,,
FIFO,18,0,3026.469381330162,variant_14,0.0155555555555555,running,828,ASSEMBLY_2,ASSEMBLY2_LINE_2,3028.829014045103,,
FIFO,18,0,3026.469381330162,variant_11,0.0155555555555555,gateway,829,QC_AFTER_ASSEMBLY2,,,,{'moulding_lane': 'ASSEMBLY_1_4'}
FIFO,18,0,3026.469381330162,variant_11,0.0155555555555555,queued,829,SORTING,,,,
FIFO,18,0,3027.218060665836,variant_7,0.0155555555555555,gateway,807,QC_AFTER_SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_1'}
FIFO,18,0,3027.218060665836,variant_7,0.0155555555555555,queued,807,PACKAGING,,,,
