case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process;queue_style;hetero
1458;MOULDING;MOULDING_MACHINE_1;5104.32344142426;2.8240486377881098;0.0;0.0;1;1;86.5557253710167;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1459;MOULDING;MOULDING_MACHINE_3;5109.952312877526;3.875383016436899;0.0;0.0;1;2;72.81855097360676;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1459;ASSEMBLY_1;LINE_ASSEMBLY1_1;5110.192177027161;0.2398641496347409;0.2398641496347409;0.2398641496347409;2;2;72.57868682397202;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1458;ASSEMBLY_1;LINE_ASSEMBLY1_4;5110.8948832270735;6.571441802813752;6.571441802813752;6.571441802813752;2;2;79.98428356820295;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1460;MOULDING;MOULDING_MACHINE_5;5111.510206167532;3.5788054905306126;0.0;0.0;1;3;89.52564133253873;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1461;MOULDING;MOULDING_MACHINE_2;5124.119837645473;10.875963476317338;0.0;0.0;1;4;76.14712007360231;experiment;FIFO;0.28;0;variant_4;pooled;strong_all
1462;MOULDING;MOULDING_MACHINE_4;5125.738625030037;2.2960972436731026;0.0;0.0;1;5;62.36916678161924;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1462;ASSEMBLY_1;LINE_ASSEMBLY1_2;5125.916900851192;0.17827582115478435;0.17827582115478435;0.17827582115478435;2;5;62.19089096046446;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1460;ASSEMBLY_1;LINE_ASSEMBLY1_3;5130.863875523009;19.353669355476995;19.353669355476995;19.353669355476995;2;5;70.17197197706173;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1464;MOULDING;MOULDING_MACHINE_3;5133.311918493365;3.2697869602525316;0.0;0.0;1;6;61.7089317072423;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1464;ASSEMBLY_1;LINE_ASSEMBLY1_1;5133.8453099133;0.5333914199354695;0.5333914199354695;0.5333914199354695;2;6;61.17554028730683;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1466;MOULDING;MOULDING_MACHINE_2;5133.957438910344;1.4211296389257768;0.0;0.0;1;7;68.26986234121159;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1463;MOULDING;MOULDING_MACHINE_1;5134.964058913071;9.748342306847917;0.0;0.0;1;8;83.5901697235222;experiment;FIFO;0.28;0;variant_4;pooled;strong_all
1461;ASSEMBLY_1;LINE_ASSEMBLY1_5;5135.908315239518;11.788477594044707;11.788477594044707;11.788477594044707;2;8;64.3586424795576;experiment;FIFO;0.28;0;variant_4;pooled;strong_all
1465;MOULDING;MOULDING_MACHINE_5;5137.386813531386;4.95087768960002;0.0;0.0;1;9;66.69126467568367;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1467;MOULDING;MOULDING_MACHINE_4;5138.296256568352;0.7134254794618755;0.0;0.0;1;10;72.99894920637234;experiment;FIFO;0.28;0;variant_5;pooled;strong_all
1467;ASSEMBLY_1;LINE_ASSEMBLY1_1;5139.296961411419;1.0007048430670693;1.0007048430670693;1.0007048430670693;2;10;71.99824436330528;experiment;FIFO;0.28;0;variant_5;pooled;strong_all
1466;ASSEMBLY_1;LINE_ASSEMBLY1_4;5139.745051107462;5.787612197118506;5.787612197118506;5.787612197118506;2;10;62.482250144093086;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1465;ASSEMBLY_1;LINE_ASSEMBLY1_3;5141.514821073765;4.128007542379237;4.128007542379237;4.128007542379237;2;10;62.56325713330443;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1468;MOULDING;MOULDING_MACHINE_3;5142.660373953189;4.553035959361296;0.0;0.0;1;11;62.62821602539498;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1463;ASSEMBLY_1;LINE_ASSEMBLY1_2;5148.026322693558;13.062263780486319;13.062263780486319;13.062263780486319;2;11;70.52790594303588;experiment;FIFO;0.28;0;variant_4;pooled;strong_all
1468;ASSEMBLY_1;LINE_ASSEMBLY1_5;5153.764773298393;11.104399345204001;11.104399345204001;11.104399345204001;2;11;51.523816680190976;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1459;ASSEMBLY_2;ASSEMBLY2_LINE_2;5158.520491894801;5.951734577592106;48.328314867640074;48.568179017274815;3;11;24.250371956331946;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1469;MOULDING;MOULDING_MACHINE_2;5161.12456434836;0.9762259583858395;0.0;0.0;1;12;51.01489819776725;experiment;FIFO;0.28;0;variant_6;pooled;strong_all
1458;ASSEMBLY_2;ASSEMBLY2_LINE_2;5161.139284362617;2.6187924678160925;50.24440113554374;56.81584293835749;3;12;29.739882432659215;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1462;ASSEMBLY_2;ASSEMBLY2_LINE_2;5165.424401893563;4.285117530946081;39.50750104237159;39.68577686352637;3;12;22.68338991809287;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1470;MOULDING;MOULDING_MACHINE_1;5165.780673844137;4.125599424581196;0.0;0.0;1;13;45.52270333282286;experiment;FIFO;0.28;0;variant_5;pooled;strong_all
1469;ASSEMBLY_1;LINE_ASSEMBLY1_1;5167.123842565236;5.999278216876519;5.999278216876519;5.999278216876519;2;13;45.01561998089073;experiment;FIFO;0.28;0;variant_6;pooled;strong_all
1471;MOULDING;MOULDING_MACHINE_5;5172.38174964985;4.963067343922376;0.0;0.0;1;14;46.955283595758374;experiment;FIFO;0.28;0;variant_6;pooled;strong_all
1470;ASSEMBLY_1;LINE_ASSEMBLY1_4;5173.635898343639;7.855224499502583;7.855224499502583;7.855224499502583;2;14;37.667478833320274;experiment;FIFO;0.28;0;variant_5;pooled;strong_all
1472;MOULDING;MOULDING_MACHINE_4;5174.025463835672;1.6066641394672843;0.0;0.0;1;15;58.28213108802629;experiment;FIFO;0.28;0;variant_6;pooled;strong_all
1464;ASSEMBLY_2;ASSEMBLY2_LINE_1;5175.475113943761;9.10977233394442;41.629804030460946;42.163195450396415;3;15;19.545736256845885;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1472;ASSEMBLY_1;LINE_ASSEMBLY1_2;5175.80925817854;1.7837943428685321;1.7837943428685321;1.7837943428685321;2;15;56.49833674515776;experiment;FIFO;0.28;0;variant_6;pooled;strong_all
1460;ASSEMBLY_2;ASSEMBLY2_LINE_2;5175.926801297816;10.502399404253083;45.06292577480781;64.4165951302848;3;15;25.10904620225392;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1471;ASSEMBLY_1;LINE_ASSEMBLY1_3;5177.617849342802;5.236099692952848;5.236099692952848;5.236099692952848;2;15;41.719183902805526;experiment;FIFO;0.28;0;variant_6;pooled;strong_all
1459;SORTING;SORTING_ROBOT_1;5177.715476719162;1.0223944130311793;19.1949848243612;67.76316384163601;4;15;5.055387131970747;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1467;ASSEMBLY_2;ASSEMBLY2_LINE_2;5178.030381524121;2.1035802263049845;38.73342011270233;39.7341249557694;3;15;33.26482425060294;experiment;FIFO;0.28;0;variant_5;pooled;strong_all
1461;ASSEMBLY_2;ASSEMBLY2_LINE_1;5178.22457086403;2.74945692026904;42.31625562451245;54.10473321855716;3;15;22.04238685504515;experiment;FIFO;0.28;0;variant_4;pooled;strong_all
1459;PACKAGING;PACKAGING_LINE_3;5179.582614958192;1.867138239029373;1.867138239029373;69.63030208066539;5;15;3.188248892941374;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1459;INSPECTION_1;INSPECTION_1_LINE_1;5180.818798703009;1.2361837448170263;1.2361837448170263;70.86648582548241;6;15;1.9520651481243476;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1459;INSPECTION_2;INSPECTION_2_LINE_2;5181.334789222744;0.5159905197351691;0.5159905197351691;71.38247634521758;7;15;1.4360746283891785;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1459;INSPECTION_3;INSPECTION_3_LINE_1;5182.770863851133;1.4360746283891785;1.4360746283891785;72.81855097360676;8;14;0.0;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1458;SORTING;SORTING_ROBOT_1;5182.932556312236;5.217079593073322;21.79327194961843;78.60911488797592;4;14;7.946610483040786;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1458;PACKAGING;PACKAGING_LINE_3;5183.323678244758;0.39112193252276484;0.39112193252276484;79.00023682049869;5;14;7.555488550518021;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1458;INSPECTION_1;INSPECTION_1_LINE_2;5184.157312734552;0.8336344897934396;0.8336344897934396;79.83387131029212;6;14;6.721854060724581;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1462;SORTING;SORTING_ROBOT_1;5184.22896727752;1.2964109652839397;18.804565383956287;58.49034224748266;4;14;3.8788245341365837;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1474;MOULDING;MOULDING_MACHINE_2;5185.594409080402;5.066470495727117;0.0;0.0;1;15;38.412622417909006;experiment;FIFO;0.28;0;variant_5;pooled;strong_all
1458;INSPECTION_2;INSPECTION_2_LINE_2;5185.8207035163005;1.6633907817486033;1.6633907817486033;81.49726209204073;7;15;5.058463278975978;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1462;PACKAGING;PACKAGING_LINE_3;5186.312828599215;2.083861321695622;2.083861321695622;60.57420356917828;5;15;1.7949632124409618;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1474;ASSEMBLY_1;LINE_ASSEMBLY1_5;5187.574844119597;1.980435039195072;1.980435039195072;1.980435039195072;2;15;36.432187378713934;experiment;FIFO;0.28;0;variant_5;pooled;strong_all
1462;INSPECTION_1;INSPECTION_1_LINE_1;5187.655599165989;1.3427705667736518;1.3427705667736518;61.91697413595193;6;15;0.45219264566731;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1462;INSPECTION_2;INSPECTION_2_LINE_1;5187.880670145755;0.22507097976631485;0.22507097976631485;62.14204511571825;7;15;0.22712166590099514;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1462;INSPECTION_3;INSPECTION_3_LINE_2;5188.107791811656;0.22712166590099514;0.22712166590099514;62.36916678161924;8;14;0.0;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1465;ASSEMBLY_2;ASSEMBLY2_LINE_1;5188.718332388868;10.493761524837282;47.20351131510233;51.33151885748157;3;14;15.3597458182021;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1466;ASSEMBLY_2;ASSEMBLY2_LINE_2;5189.395773118779;11.365391594657922;49.65072201131716;55.43833420843566;3;14;12.83152813277593;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1468;ASSEMBLY_2;ASSEMBLY2_LINE_2;5190.30850283391;0.9127297151308085;36.54372953551683;47.64812888072083;3;14;14.980087144674144;experiment;FIFO;0.28;0;variant_3;pooled;strong_all
1458;INSPECTION_3;INSPECTION_3_LINE_1;5190.879166795276;5.058463278975978;5.058463278975978;86.5557253710167;8;13;0.0;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1464;SORTING;SORTING_ROBOT_1;5191.480281349359;1.096113881171732;16.005167405597604;58.16836285599402;4;13;3.540568851248281;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
1460;SORTING;SORTING_ROBOT_1;5191.492786815384;0.012505466024776979;15.565985517567242;79.98258064785205;4;13;9.54306068468668;experiment;FIFO;0.28;0;variant_1;pooled;strong_all
1464;PACKAGING;PACKAGING_LINE_1;5191.544687647469;0.06440629811004328;0.06440629811004328;58.23276915410406;5;13;3.476162553138238;experiment;FIFO;0.28;0;variant_2;pooled;strong_all
