case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process;queue_style;hetero
1390;MOULDING;MOULDING_MACHINE_2;5106.524629785207;0.42334948661391536;0.0;0.0;1;1;84.77910431854343;experiment;FIFO;0.28;0;variant_6;pooled;identical
1392;MOULDING;MOULDING_MACHINE_5;5111.170044883425;0.2665722564142925;0.0;0.0;1;2;81.2814011526334;experiment;FIFO;0.28;0;variant_2;pooled;identical
1391;MOULDING;MOULDING_MACHINE_1;5124.3003842736725;14.145897882308418;0.0;0.0;1;3;76.98981851759254;experiment;FIFO;0.28;0;variant_6;pooled;identical
1391;ASSEMBLY_1;LINE_ASSEMBLY1_4;5125.0728167061;0.7724324324271947;0.7724324324271947;0.7724324324271947;2;3;76.21738608516534;experiment;FIFO;0.28;0;variant_6;pooled;identical
1394;MOULDING;MOULDING_MACHINE_3;5127.0618567036845;0.08994060682016425;0.0;0.0;1;4;67.69630387938469;experiment;FIFO;0.28;0;variant_1;pooled;identical
1394;ASSEMBLY_1;LINE_ASSEMBLY1_3;5127.514545062558;0.4526883588732744;0.4526883588732744;0.4526883588732744;2;4;67.24361552051141;experiment;FIFO;0.28;0;variant_1;pooled;identical
1390;ASSEMBLY_1;LINE_ASSEMBLY1_2;5127.614699291929;21.090069506722102;21.090069506722102;21.090069506722102;2;4;63.68903481182133;experiment;FIFO;0.28;0;variant_6;pooled;identical
1395;MOULDING;MOULDING_MACHINE_2;5128.53983047355;0.6782527099539948;0.0;0.0;1;5;70.13718954627893;experiment;FIFO;0.28;0;variant_4;pooled;identical
1392;ASSEMBLY_1;LINE_ASSEMBLY1_5;5128.596007330524;17.425962447098755;17.425962447098755;17.425962447098755;2;5;63.85543870553465;experiment;FIFO;0.28;0;variant_2;pooled;identical
1395;ASSEMBLY_1;LINE_ASSEMBLY1_1;5129.301708768614;0.7618782950639797;0.7618782950639797;0.7618782950639797;2;5;69.37531125121495;experiment;FIFO;0.28;0;variant_4;pooled;identical
1394;ASSEMBLY_2;ASSEMBLY2_LINE_1;5131.357860721103;3.8433156585451798;3.8433156585451798;4.296004017418454;3;5;63.40029986196623;experiment;FIFO;0.28;0;variant_1;pooled;identical
1390;ASSEMBLY_2;ASSEMBLY2_LINE_1;5132.342304350499;0.9844436293960825;4.727605058569679;25.81767456529178;3;5;58.96142975325165;experiment;FIFO;0.28;0;variant_6;pooled;identical
1393;MOULDING;MOULDING_MACHINE_4;5134.118128803822;7.783919281051567;0.0;0.0;1;6;86.52559642827418;experiment;FIFO;0.28;0;variant_1;pooled;identical
1392;ASSEMBLY_2;ASSEMBLY2_LINE_1;5136.304539537437;3.9622351869384147;7.708532206913333;25.134494654012087;3;6;56.14690649862132;experiment;FIFO;0.28;0;variant_2;pooled;identical
1395;ASSEMBLY_2;ASSEMBLY2_LINE_1;5137.896624707351;1.5920851699138439;8.594915938737358;9.356794233801338;3;6;60.780395312477594;experiment;FIFO;0.28;0;variant_4;pooled;identical
1397;MOULDING;MOULDING_MACHINE_1;5137.983634721543;2.454334947571624;0.0;0.0;1;7;64.87758286704229;experiment;FIFO;0.28;0;variant_2;pooled;identical
