case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process;queue_style;hetero
1412;MOULDING;MOULDING_MACHINE_4;5104.875155860774;0.06813449402125116;0.0;0.0;1;1;116.52068965155286;experiment;FIFO;0.28;0;variant_17;pooled;identical
1414;MOULDING;MOULDING_MACHINE_3;5114.0118812733335;3.484722871615304;0.0;0.0;1;2;107.30563433932912;experiment;FIFO;0.28;0;variant_7;pooled;identical
1413;MOULDING;MOULDING_MACHINE_5;5115.4124282006205;4.899744404970988;0.0;0.0;1;3;110.44465345508615;experiment;FIFO;0.28;0;variant_10;pooled;identical
1415;MOULDING;MOULDING_MACHINE_1;5116.350941464671;5.782715475903387;0.0;0.0;1;4;99.95258439303961;experiment;FIFO;0.28;0;variant_2;pooled;identical
1416;MOULDING;MOULDING_MACHINE_4;5121.3367343145965;3.865468290025092;0.0;0.0;1;5;88.12037961690203;experiment;FIFO;0.28;0;variant_7;pooled;identical
1412;ASSEMBLY_1;LINE_ASSEMBLY1_3;5122.962581187947;12.001694312350992;18.08742532717315;18.08742532717315;2;5;98.4332643243797;experiment;FIFO;0.28;0;variant_17;pooled;identical
1417;MOULDING;MOULDING_MACHINE_2;5123.3456136574005;4.157138161311195;0.0;0.0;1;6;127.68507215278532;experiment;FIFO;0.28;0;variant_7;pooled;identical
1417;MOULDING;MOULDING_MACHINE_3;5123.374255178107;0.02864152070651471;0.02864152070651471;0.02864152070651471;2;6;127.65643063207881;experiment;FIFO;0.28;0;variant_7;pooled;identical
1418;MOULDING;MOULDING_MACHINE_5;5124.435148506368;0.648587527741256;0.0;0.0;1;7;113.54229861116073;experiment;FIFO;0.28;0;variant_18;pooled;identical
1416;ASSEMBLY_1;LINE_ASSEMBLY1_4;5125.778124374447;1.2238432129297507;4.441390059850164;4.441390059850164;2;7;83.67898955705186;experiment;FIFO;0.28;0;variant_7;pooled;identical
1415;ASSEMBLY_1;LINE_ASSEMBLY1_5;5130.494059378004;6.897981390430687;14.14311791333239;14.14311791333239;2;7;85.80946647970723;experiment;FIFO;0.28;0;variant_2;pooled;identical
1418;ASSEMBLY_1;LINE_ASSEMBLY1_5;5136.63463983953;6.140580461526042;12.199491333161859;12.199491333161859;2;7;101.34280727799887;experiment;FIFO;0.28;0;variant_18;pooled;identical
1414;ASSEMBLY_1;LINE_ASSEMBLY1_1;5136.976912383985;18.03728031421724;22.96503111065158;22.96503111065158;2;7;84.34060322867754;experiment;FIFO;0.28;0;variant_7;pooled;identical
1413;ASSEMBLY_1;LINE_ASSEMBLY1_3;5141.290485988411;18.32790480046424;25.878057787790567;25.878057787790567;2;7;84.56659566729559;experiment;FIFO;0.28;0;variant_10;pooled;identical
1419;MOULDING;MOULDING_MACHINE_1;5144.674300228172;9.791673710235955;0.0;0.0;1;8;89.35988941195228;experiment;FIFO;0.28;0;variant_15;pooled;identical
1421;MOULDING;MOULDING_MACHINE_2;5145.141439327683;1.9106219897803385;0.0;0.0;1;9;112.9174163216303;experiment;FIFO;0.28;0;variant_8;pooled;identical
1420;MOULDING;MOULDING_MACHINE_4;5145.607270784123;3.34892367298562;0.0;0.0;1;10;103.3882385571842;experiment;FIFO;0.28;0;variant_1;pooled;identical
1419;ASSEMBLY_1;LINE_ASSEMBLY1_5;5149.338120286488;4.66382005831656;4.66382005831656;4.66382005831656;2;10;84.69606935363572;experiment;FIFO;0.28;0;variant_15;pooled;identical
1420;ASSEMBLY_1;LINE_ASSEMBLY1_3;5149.52462458211;3.9173537979868343;3.9173537979868343;3.9173537979868343;2;10;99.47088475919736;experiment;FIFO;0.28;0;variant_1;pooled;identical
1416;ASSEMBLY_2;ASSEMBLY2_LINE_1;5151.452562312163;0.7392874245551866;25.674437937715993;30.115827997566157;3;10;58.00455161933587;experiment;FIFO;0.28;0;variant_7;pooled;identical
1423;MOULDING;MOULDING_MACHINE_5;5152.057820404856;2.133605130768956;0.0;0.0;1;11;95.56022590560951;experiment;FIFO;0.28;0;variant_15;pooled;identical
1422;MOULDING;MOULDING_MACHINE_3;5152.493414772264;5.375320575229125;0.0;0.0;1;12;106.4615898414022;experiment;FIFO;0.28;0;variant_7;pooled;identical
1423;ASSEMBLY_1;LINE_ASSEMBLY1_2;5155.142841692895;3.0850212880386607;3.0850212880386607;3.0850212880386607;2;12;92.47520461757085;experiment;FIFO;0.28;0;variant_15;pooled;identical
1422;ASSEMBLY_1;LINE_ASSEMBLY1_5;5155.149913876498;2.6564991042341717;2.6564991042341717;2.6564991042341717;2;12;103.80509073716803;experiment;FIFO;0.28;0;variant_7;pooled;identical
