case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process
1417;MOULDING;MOULDING_MACHINE_5;5046.856147322741;0.12394569080879592;0.0;0.0;1;1;33.47688738456418;experiment;FIFO;0.28;0;variant_6
1416;MOULDING;MOULDING_MACHINE_4;5047.0399922793085;0.9187828469739543;0.0;0.0;1;2;63.00764556411832;experiment;FIFO;0.28;0;variant_2
1413;MOULDING;MOULDING_MACHINE_3;5047.630937842773;4.888685636926311;0.0;0.0;1;3;39.91743186619988;experiment;FIFO;0.28;0;variant_3
1417;ASSEMBLY_1;LINE_3_ASSEMBLY1;5047.797650107613;0.9415027848717727;0.9415027848717727;0.9415027848717727;2;3;32.53538459969241;experiment;FIFO;0.28;0;variant_6
1414;MOULDING;MOULDING_MACHINE_1;5052.543165638151;8.53699175658494;0.0;0.0;1;4;67.17377292018318;experiment;FIFO;0.28;0;variant_3
1414;ASSEMBLY_1;LINE_5_ASSEMBLY1;5052.660558793986;0.11739315583508869;0.11739315583508869;0.11739315583508869;2;4;67.0563797643481;experiment;FIFO;0.28;0;variant_3
1409;MOULDING;MOULDING_MACHINE_2;5056.289318074308;34.462021021656255;0.0;0.0;1;5;54.1711882078007;experiment;FIFO;0.28;0;variant_6
1418;MOULDING;MOULDING_MACHINE_5;5057.771600407649;2.14308633669134;0.0;0.0;1;6;71.14512289199229;experiment;FIFO;0.28;0;variant_3
1413;ASSEMBLY_1;LINE_4_ASSEMBLY1;5059.972167036941;12.341229194167681;12.341229194167681;12.341229194167681;2;6;27.576202672032196;experiment;FIFO;0.28;0;variant_3
1416;ASSEMBLY_1;LINE_2_ASSEMBLY1;5062.497844402496;7.28273129631998;15.457852123187877;15.457852123187877;2;6;47.54979344093044;experiment;FIFO;0.28;0;variant_2
1421;MOULDING;MOULDING_MACHINE_1;5064.394295370616;0.6279716528970312;0.0;0.0;1;7;39.59299860068495;experiment;FIFO;0.28;0;variant_2
1421;ASSEMBLY_1;LINE_1_ASSEMBLY1;5066.75852543722;2.3642300666033407;2.3642300666033407;2.3642300666033407;2;7;37.22876853408161;experiment;FIFO;0.28;0;variant_2
1417;ASSEMBLY_2;ASSEMBLY2_LINE_2;5067.224072821343;13.336049194347652;19.426422713730062;20.367925498601835;3;7;13.108961885962344;experiment;FIFO;0.28;0;variant_6
1422;MOULDING;MOULDING_MACHINE_2;5067.307760188757;0.4742921994120479;0.0;0.0;1;8;74.61223984678873;experiment;FIFO;0.28;0;variant_3
1419;MOULDING;MOULDING_MACHINE_4;5067.921197413327;5.043963558285213;0.0;0.0;1;9;62.38922349894074;experiment;FIFO;0.28;0;variant_1
1417;SORTING;SORTING_ROBOT_1;5070.435923390547;3.2118505692042163;3.2118505692042163;23.57977606780605;4;9;9.897111316758128;experiment;FIFO;0.28;0;variant_6
1420;MOULDING;MOULDING_MACHINE_3;5071.642403761997;8.620063294613828;0.0;0.0;1;10;43.16846293470371;experiment;FIFO;0.28;0;variant_4
1417;PACKAGING;PACKAGING_LINE_2;5071.952947063396;1.5170236728490636;1.5170236728490636;25.096799740655115;5;10;8.380087643909064;experiment;FIFO;0.28;0;variant_6
1417;INSPECTION_1;INSPECTION_1_LINE_1;5072.486763782337;0.5338167189411251;0.5338167189411251;25.63061645959624;6;10;7.846270924967939;experiment;FIFO;0.28;0;variant_6
1409;ASSEMBLY_1;LINE_2_ASSEMBLY1;5072.545828588782;10.047984186285248;16.25651051447403;16.25651051447403;2;10;37.91467769332667;experiment;FIFO;0.28;0;variant_6
1423;MOULDING;MOULDING_MACHINE_5;5073.533539863035;4.8514405937903575;0.0;0.0;1;11;43.42525828347516;experiment;FIFO;0.28;0;variant_2
1424;MOULDING;MOULDING_MACHINE_1;5074.063577616267;0.18684725289131165;0.0;0.0;1;12;53.51659983094942;experiment;FIFO;0.28;0;variant_4
1417;INSPECTION_2;INSPECTION_2_LINE_2;5074.2050095498425;1.7182457675053229;1.7182457675053229;27.348862227101563;7;12;6.128025157462616;experiment;FIFO;0.28;0;variant_6
1420;ASSEMBLY_1;LINE_4_ASSEMBLY1;5076.253528784409;4.611125022412125;4.611125022412125;4.611125022412125;2;12;38.55733791229159;experiment;FIFO;0.28;0;variant_4
1423;ASSEMBLY_1;LINE_2_ASSEMBLY1;5076.866960206662;3.33342034362704;3.33342034362704;3.33342034362704;2;12;40.09183793984812;experiment;FIFO;0.28;0;variant_2
1417;INSPECTION_3;INSPECTION_3_LINE_2;5077.293565564411;3.088556014568894;3.088556014568894;30.437418241670457;8;12;3.039469142893722;experiment;FIFO;0.28;0;variant_6
1425;MOULDING;MOULDING_MACHINE_2;5077.700949312536;2.9666914091894796;0.0;0.0;1;13;69.89435619632604;experiment;FIFO;0.28;0;variant_6
1417;INSPECTION_4;INSPECTION_4_LINE_1;5077.86519897519;0.5716334107783041;0.5716334107783041;31.00905165244876;9;13;2.467835732115418;experiment;FIFO;0.28;0;variant_6
1418;ASSEMBLY_1;LINE_3_ASSEMBLY1;5078.137233675905;20.365633268255806;20.365633268255806;20.365633268255806;2;13;50.77948962373648;experiment;FIFO;0.28;0;variant_3
1417;INSPECTION_5;INSPECTION_5_LINE_2;5078.608770774557;0.7435717993676008;0.7435717993676008;31.752623451816362;10;13;1.7242639327478173;experiment;FIFO;0.28;0;variant_6
1426;MOULDING;MOULDING_MACHINE_4;5078.912845228062;0.547814230957556;0.0;0.0;1;14;53.24862808089256;experiment;FIFO;0.28;0;variant_3
1427;MOULDING;MOULDING_MACHINE_3;5078.927094348121;0.27501204366853926;0.0;0.0;1;15;59.28818068598139;experiment;FIFO;0.28;0;variant_5
1426;ASSEMBLY_1;LINE_4_ASSEMBLY1;5079.147207361683;0.2343621336212891;0.2343621336212891;0.2343621336212891;2;15;53.01426594727127;experiment;FIFO;0.28;0;variant_3
1413;ASSEMBLY_2;ASSEMBLY2_LINE_1;5079.750027592999;8.726034258879736;19.77786055605793;32.11908975022561;3;15;7.798342115974265;experiment;FIFO;0.28;0;variant_3
1417;INSPECTION_6;INSPECTION_6_LINE_2;5080.10625875506;1.4974879805022283;1.4974879805022283;33.25011143231859;11;15;0.226775952245589;experiment;FIFO;0.28;0;variant_6
1417;INSPECTION_7;INSPECTION_7_LINE_2;5080.333034707305;0.226775952245589;0.226775952245589;33.47688738456418;12;14;0.0;experiment;FIFO;0.28;0;variant_6
1414;ASSEMBLY_2;ASSEMBLY2_LINE_2;5080.572971044233;13.348898222890057;27.912412250247144;28.029805406082232;3;14;39.14396751410095;experiment;FIFO;0.28;0;variant_3
1416;ASSEMBLY_2;ASSEMBLY2_LINE_1;5081.758312629936;2.0082850369371954;19.26046822743956;34.71832035062744;3;14;28.289325213490883;experiment;FIFO;0.28;0;variant_2
1419;ASSEMBLY_1;LINE_1_ASSEMBLY1;5082.394983444802;14.473786031475356;14.473786031475356;14.473786031475356;2;14;47.91543746746538;experiment;FIFO;0.28;0;variant_1
1413;SORTING;SORTING_ROBOT_1;5082.88933141861;3.139303825611023;3.139303825611023;35.258393575836635;4;14;4.659038290363242;experiment;FIFO;0.28;0;variant_3
1413;PACKAGING;PACKAGING_LINE_3;5082.94311111342;0.053779694810145884;0.053779694810145884;35.31217327064678;5;14;4.605258595553096;experiment;FIFO;0.28;0;variant_3
1421;ASSEMBLY_2;ASSEMBLY2_LINE_2;5082.98549265284;2.4125216086067667;16.22696721561988;18.59119728222322;3;14;21.00180131846173;experiment;FIFO;0.28;0;variant_2
1413;INSPECTION_1;INSPECTION_1_LINE_2;5083.257842593357;0.3147314799371088;0.3147314799371088;35.62690475058389;6;14;4.290527115615987;experiment;FIFO;0.28;0;variant_3
1428;MOULDING;MOULDING_MACHINE_5;5083.272913520747;1.6550260138237718;0.0;0.0;1;15;45.655846500051666;experiment;FIFO;0.28;0;variant_1
1409;ASSEMBLY_2;ASSEMBLY2_LINE_1;5083.440306585071;1.6819939551351126;10.894477996289424;27.150988510763455;3;15;27.020199697037242;experiment;FIFO;0.28;0;variant_6
1429;MOULDING;MOULDING_MACHINE_1;5083.693118458172;1.6249020060186012;0.0;0.0;1;16;80.60983367486551;experiment;FIFO;0.28;0;variant_4
1413;INSPECTION_2;INSPECTION_2_LINE_1;5083.704065973934;0.44622338057706656;0.44622338057706656;36.073128131160956;7;16;3.8443037350389204;experiment;FIFO;0.28;0;variant_3
1413;INSPECTION_3;INSPECTION_3_LINE_2;5084.084640805007;0.3805748310733179;0.3805748310733179;36.453702962234274;8;16;3.4637289039656025;experiment;FIFO;0.28;0;variant_3
1413;INSPECTION_4;INSPECTION_4_LINE_2;5084.629183545766;0.5445427407585157;0.5445427407585157;36.99824570299279;9;16;2.919186163207087;experiment;FIFO;0.28;0;variant_3
1424;ASSEMBLY_1;LINE_1_ASSEMBLY1;5084.831925834066;2.4369423892640043;10.76834821779903;10.76834821779903;2;16;42.74825161315039;experiment;FIFO;0.28;0;variant_4
1413;INSPECTION_5;INSPECTION_5_LINE_1;5085.976280430713;1.34709688494695;1.34709688494695;38.34534258793974;10;16;1.5720892782601368;experiment;FIFO;0.28;0;variant_3
1427;ASSEMBLY_1;LINE_1_ASSEMBLY1;5086.806347718087;1.9744218840205576;7.879253369966136;7.879253369966136;2;16;51.40892731601525;experiment;FIFO;0.28;0;variant_5
1413;INSPECTION_6;INSPECTION_6_LINE_2;5087.509703941259;1.5334235105465268;1.5334235105465268;39.87876609848627;11;16;0.038665767713609966;experiment;FIFO;0.28;0;variant_3
1413;INSPECTION_7;INSPECTION_7_LINE_1;5087.548369708973;0.038665767713609966;0.038665767713609966;39.91743186619988;12;15;0.0;experiment;FIFO;0.28;0;variant_3
1428;ASSEMBLY_1;LINE_1_ASSEMBLY1;5089.211720744036;2.4053730259493022;5.938807223288677;5.938807223288677;2;15;39.71703927676299;experiment;FIFO;0.28;0;variant_1
1420;ASSEMBLY_2;ASSEMBLY2_LINE_2;5089.46126329692;6.475770644080512;13.207734512510797;17.81885953492292;3;15;25.34960339978079;experiment;FIFO;0.28;0;variant_4
1431;MOULDING;MOULDING_MACHINE_4;5089.942307750351;2.8155677378190376;0.0;0.0;1;16;47.813754416221855;experiment;FIFO;0.28;0;variant_5
1430;MOULDING;MOULDING_MACHINE_2;5089.980545943236;5.052570725899386;0.0;0.0;1;17;67.01821769737671;experiment;FIFO;0.28;0;variant_5
1414;SORTING;SORTING_ROBOT_1;5091.299543767935;8.410212349324865;10.726572723701793;38.756378129784025;4;17;28.417394790399158;experiment;FIFO;0.28;0;variant_3
1416;SORTING;SORTING_ROBOT_1;5092.374553551434;1.0750097834988992;10.616240921497592;45.33456127212503;4;17;17.67308429199329;experiment;FIFO;0.28;0;variant_2
1421;SORTING;SORTING_ROBOT_1;5092.73722935302;0.3626758015861924;9.751736700180118;28.342933982403338;4;17;11.250064618281613;experiment;FIFO;0.28;0;variant_2
1421;PACKAGING;PACKAGING_LINE_1;5093.198951765506;0.4617224124858694;0.4617224124858694;28.804656394889207;5;17;10.788342205795743;experiment;FIFO;0.28;0;variant_2
1421;INSPECTION_1;INSPECTION_1_LINE_2;5093.208152178353;0.009200412847349071;0.009200412847349071;28.813856807736556;6;17;10.779141792948394;experiment;FIFO;0.28;0;variant_2
1409;SORTING;SORTING_ROBOT_1;5093.758697815734;1.021468462714438;10.31839123066311;37.469379741426565;4;17;16.701808466374132;experiment;FIFO;0.28;0;variant_6
1420;SORTING;SORTING_ROBOT_1;5094.306972276723;0.5482744609889778;4.845708979803021;22.664568514725943;4;17;20.50389441997777;experiment;FIFO;0.28;0;variant_4
1431;ASSEMBLY_1;LINE_2_ASSEMBLY1;5096.978690623979;7.036382873628099;7.036382873628099;7.036382873628099;2;17;40.777371542593755;experiment;FIFO;0.28;0;variant_5
1422;ASSEMBLY_1;LINE_3_ASSEMBLY1;5097.161791238776;19.02455756287054;29.85403105001842;29.85403105001842;2;17;44.758208796770305;experiment;FIFO;0.28;0;variant_3
1421;INSPECTION_2;INSPECTION_2_LINE_1;5097.473310272176;4.26515809382272;4.26515809382272;33.079014901559276;7;17;6.513983699125674;experiment;FIFO;0.28;0;variant_2
1421;INSPECTION_3;INSPECTION_3_LINE_2;5098.028886304278;0.5555760321021808;0.5555760321021808;33.63459093366146;8;17;5.958407667023494;experiment;FIFO;0.28;0;variant_2
1423;ASSEMBLY_2;ASSEMBLY2_LINE_1;5098.085328644452;14.645022059380608;21.21836843778965;24.55178878141669;3;17;18.87346950205847;experiment;FIFO;0.28;0;variant_2
1418;ASSEMBLY_2;ASSEMBLY2_LINE_2;5099.052092994017;9.590829697096524;20.914859318111667;41.28049258636747;3;17;29.864630305624814;experiment;FIFO;0.28;0;variant_3
1433;MOULDING;MOULDING_MACHINE_5;5099.304799025184;2.067068608658701;0.0;0.0;1;18;80.32103467899924;experiment;FIFO;0.28;0;variant_1
1426;ASSEMBLY_2;ASSEMBLY2_LINE_1;5099.32389046093;1.238561816478068;20.176683099246475;20.411045232867764;3;18;32.837582848024795;experiment;FIFO;0.28;0;variant_3
1432;MOULDING;MOULDING_MACHINE_3;5100.094816784145;7.87984270970901;0.0;0.0;1;19;54.85819527123567;experiment;FIFO;0.28;0;variant_3
1430;ASSEMBLY_1;LINE_4_ASSEMBLY1;5100.298456642891;10.31791069965493;10.31791069965493;10.31791069965493;2;19;56.70030699772178;experiment;FIFO;0.28;0;variant_5
1424;ASSEMBLY_2;ASSEMBLY2_LINE_1;5100.572223101;1.2483326400706574;15.740297266934249;26.50864548473328;3;19;27.007954346216138;experiment;FIFO;0.28;0;variant_4
1419;ASSEMBLY_2;ASSEMBLY2_LINE_2;5101.390760302131;2.3386673081140543;18.995776857328565;33.46956288880392;3;19;28.919660610136816;experiment;FIFO;0.28;0;variant_1
1421;INSPECTION_4;INSPECTION_4_LINE_1;5101.403522460925;3.3746361566472842;3.3746361566472842;37.00922709030874;9;19;2.5837715103762093;experiment;FIFO;0.28;0;variant_2
1414;PACKAGING;PACKAGING_LINE_2;5101.745130890333;10.445587122398138;10.445587122398138;49.20196525218216;5;19;17.97180766800102;experiment;FIFO;0.28;0;variant_3
1409;PACKAGING;PACKAGING_LINE_1;5101.945084567341;8.186386751606733;8.186386751606733;45.6557664930333;5;19;8.515421714767399;experiment;FIFO;0.28;0;variant_6
1428;ASSEMBLY_2;ASSEMBLY2_LINE_2;5102.189278970744;0.798518668613724;12.977558226708425;18.9163654499971;3;19;26.739481050054565;experiment;FIFO;0.28;0;variant_1
1409;INSPECTION_1;INSPECTION_1_LINE_2;5102.3597366643935;0.4146520970525671;0.4146520970525671;46.070418590085865;6;19;8.100769617714832;experiment;FIFO;0.28;0;variant_6
1431;ASSEMBLY_2;ASSEMBLY2_LINE_2;5102.447603093747;0.2583241230022395;5.468912469767929;12.505295343396028;3;19;35.308459072825826;experiment;FIFO;0.28;0;variant_5
1425;ASSEMBLY_1;LINE_3_ASSEMBLY1;5103.028627393158;5.866836154382327;25.32767808062181;25.32767808062181;2;19;44.566678115704235;experiment;FIFO;0.28;0;variant_6
1421;INSPECTION_5;INSPECTION_5_LINE_2;5103.1811148702;1.7775924092748028;1.7775924092748028;38.786819499583544;10;19;0.8061791011014066;experiment;FIFO;0.28;0;variant_2
1421;INSPECTION_6;INSPECTION_6_LINE_2;5103.230049183571;0.04893431337131915;0.04893431337131915;38.83575381295486;11;19;0.7572447877300874;experiment;FIFO;0.28;0;variant_2
1416;PACKAGING;PACKAGING_LINE_3;5103.406083419856;11.031529868422695;11.031529868422695;56.366091140547724;5;19;6.6415544235705966;experiment;FIFO;0.28;0;variant_2
1416;INSPECTION_1;INSPECTION_1_LINE_2;5103.466581410102;0.06049799024549429;0.06049799024549429;56.42658913079322;6;19;6.581056433325102;experiment;FIFO;0.28;0;variant_2
1429;ASSEMBLY_1;LINE_3_ASSEMBLY1;5103.634983603924;0.6063562107665348;19.941865145752672;19.941865145752672;2;19;60.66796852911284;experiment;FIFO;0.28;0;variant_4
1427;ASSEMBLY_2;ASSEMBLY2_LINE_1;5103.645590700704;3.073367599703488;16.83924298261718;24.718496352583315;3;19;34.56968433339807;experiment;FIFO;0.28;0;variant_5
1422;ASSEMBLY_2;ASSEMBLY2_LINE_2;5103.793852850855;1.3462497571081258;6.632061612079269;36.48609266209769;3;19;38.126147184691035;experiment;FIFO;0.28;0;variant_3
1409;INSPECTION_2;INSPECTION_2_LINE_2;5103.861370356628;1.5016336922344635;1.5016336922344635;47.57205228232033;7;19;6.599135925480368;experiment;FIFO;0.28;0;variant_6
1421;INSPECTION_7;INSPECTION_7_LINE_1;5103.987293971301;0.7572447877300874;0.7572447877300874;39.59299860068495;12;18;0.0;experiment;FIFO;0.28;0;variant_2
1414;INSPECTION_1;INSPECTION_1_LINE_1;5104.255425150052;2.510294259719558;2.510294259719558;51.71225951190172;6;18;15.461513408281462;experiment;FIFO;0.28;0;variant_3
1425;ASSEMBLY_2;ASSEMBLY2_LINE_2;5104.36861362028;0.5747607694247563;1.339986227121699;26.667664307743507;3;18;43.226691888582536;experiment;FIFO;0.28;0;variant_6
1432;ASSEMBLY_1;LINE_2_ASSEMBLY1;5104.453890343818;4.359073559672652;4.359073559672652;4.359073559672652;2;18;50.49912171156302;experiment;FIFO;0.28;0;variant_3
1434;MOULDING;MOULDING_MACHINE_1;5105.043090094559;2.4560385044214854;0.0;0.0;1;19;66.19841919893224;experiment;FIFO;0.28;0;variant_3
1435;MOULDING;MOULDING_MACHINE_4;5105.729244590918;2.5633086457855825;0.0;0.0;1;20;84.31756663518627;experiment;FIFO;0.28;0;variant_6
1420;PACKAGING;PACKAGING_LINE_2;5105.905516182064;4.1603852917314725;11.598543905341103;34.263112420067046;5;20;8.905350514636666;experiment;FIFO;0.28;0;variant_4
1436;MOULDING;MOULDING_MACHINE_2;5106.3636929676895;1.6828570878442406;0.0;0.0;1;21;98.95750522084563;experiment;FIFO;0.28;0;variant_4
1420;INSPECTION_1;INSPECTION_1_LINE_2;5106.447193021501;0.5416768394370592;0.5416768394370592;34.804789259504105;6;21;8.363673675199607;experiment;FIFO;0.28;0;variant_4
1430;ASSEMBLY_2;ASSEMBLY2_LINE_1;5107.212893272577;3.5673025718733697;6.914436629685952;17.232347329340882;3;21;49.78587036803583;experiment;FIFO;0.28;0;variant_5
1432;ASSEMBLY_2;ASSEMBLY2_LINE_1;5107.417281701826;0.20438842924886558;2.9633913580082663;7.322464917680918;3;21;47.535730353554754;experiment;FIFO;0.28;0;variant_3
1409;INSPECTION_3;INSPECTION_3_LINE_1;5107.436797832183;3.5754274755554434;3.5754274755554434;51.14747975787577;8;21;3.023708449924925;experiment;FIFO;0.28;0;variant_6
1409;INSPECTION_4;INSPECTION_4_LINE_2;5107.597115822659;0.16031799047595996;0.16031799047595996;51.30779774835173;9;21;2.863390459448965;experiment;FIFO;0.28;0;variant_6
1423;SORTING;SORTING_ROBOT_1;5108.201686302753;10.11635765830124;10.11635765830124;34.66814643971793;4;21;8.75711184375723;experiment;FIFO;0.28;0;variant_2
1416;INSPECTION_2;INSPECTION_2_LINE_1;5108.449939175964;4.983357765861911;4.983357765861911;61.40994689665513;7;21;1.5976986674631917;experiment;FIFO;0.28;0;variant_2
1420;INSPECTION_2;INSPECTION_2_LINE_1;5108.534340956986;0.08440178102227947;2.0871479354846088;36.891937194988714;7;21;6.276525739714998;experiment;FIFO;0.28;0;variant_4
1416;INSPECTION_3;INSPECTION_3_LINE_2;5108.809799962799;0.3598607868352701;0.3598607868352701;61.7698076834904;8;21;1.2378378806279215;experiment;FIFO;0.28;0;variant_2
1416;INSPECTION_4;INSPECTION_4_LINE_1;5108.869945118444;0.06014515564493195;0.06014515564493195;61.82995283913533;9;21;1.1776927249829896;experiment;FIFO;0.28;0;variant_2
1416;INSPECTION_5;INSPECTION_5_LINE_2;5108.898116464447;0.028171346003546205;0.028171346003546205;61.85812418513888;10;21;1.1495213789794434;experiment;FIFO;0.28;0;variant_2
1409;INSPECTION_5;INSPECTION_5_LINE_1;5108.931559408102;1.3344435854423864;1.3344435854423864;52.64224133379412;10;21;1.5289468740065786;experiment;FIFO;0.28;0;variant_6
1409;INSPECTION_6;INSPECTION_6_LINE_2;5108.949602102913;0.018042694810901594;0.018042694810901594;52.66028402860502;11;21;1.510904179195677;experiment;FIFO;0.28;0;variant_6
1416;INSPECTION_6;INSPECTION_6_LINE_1;5109.526718194639;0.6286017301918037;0.6286017301918037;62.48672591533068;11;21;0.5209196487876397;experiment;FIFO;0.28;0;variant_2
1420;INSPECTION_3;INSPECTION_3_LINE_1;5109.632471157348;1.098130200361993;1.098130200361993;37.99006739535071;8;21;5.178395539353005;experiment;FIFO;0.28;0;variant_4
1423;PACKAGING;PACKAGING_LINE_1;5109.989210588299;1.7875242855461693;1.7875242855461693;36.4556707252641;5;21;6.96958755821106;experiment;FIFO;0.28;0;variant_2
1423;INSPECTION_1;INSPECTION_1_LINE_1;5110.033337239639;0.04412665133986593;0.04412665133986593;36.499797376603965;6;21;6.925460906871194;experiment;FIFO;0.28;0;variant_2
1416;INSPECTION_7;INSPECTION_7_LINE_1;5110.047637843427;0.5209196487876397;0.5209196487876397;63.00764556411832;12;20;0.0;experiment;FIFO;0.28;0;variant_2
1409;INSPECTION_7;INSPECTION_7_LINE_2;5110.460506282108;1.510904179195677;1.510904179195677;54.1711882078007;12;19;0.0;experiment;FIFO;0.28;0;variant_6
1420;INSPECTION_4;INSPECTION_4_LINE_2;5110.806704426504;1.1742332691565025;1.1742332691565025;39.16430066450721;9;19;4.0041622701965025;experiment;FIFO;0.28;0;variant_4
1420;INSPECTION_5;INSPECTION_5_LINE_2;5110.990086505394;0.18338207888973557;0.18338207888973557;39.347682743396945;10;19;3.820780191306767;experiment;FIFO;0.28;0;variant_4
1423;INSPECTION_2;INSPECTION_2_LINE_1;5111.569216758176;1.5358795185366034;1.5358795185366034;38.03567689514057;7;19;5.389581388334591;experiment;FIFO;0.28;0;variant_2
1414;INSPECTION_2;INSPECTION_2_LINE_2;5111.722129150411;7.466704000358732;7.466704000358732;59.17896351226045;7;19;7.99480940792273;experiment;FIFO;0.28;0;variant_3
1423;INSPECTION_3;INSPECTION_3_LINE_2;5112.620722943377;1.0515061852011058;1.0515061852011058;39.087183080341674;8;19;4.338075203133485;experiment;FIFO;0.28;0;variant_2
1414;INSPECTION_3;INSPECTION_3_LINE_1;5112.699716569311;0.9775874188999296;0.9775874188999296;60.15655093116038;8;19;7.017221989022801;experiment;FIFO;0.28;0;variant_3
1423;INSPECTION_4;INSPECTION_4_LINE_1;5113.546374222505;0.9256512791280329;0.9256512791280329;40.01283435946971;9;19;3.412423924005452;experiment;FIFO;0.28;0;variant_2
1437;MOULDING;MOULDING_MACHINE_5;5113.735414346806;3.9725394370343565;0.0;0.0;1;20;70.54730093097169;experiment;FIFO;0.28;0;variant_2
1414;INSPECTION_4;INSPECTION_4_LINE_2;5113.77402143061;1.0743048612994244;1.0743048612994244;61.230855792459806;9;20;5.942917127723376;experiment;FIFO;0.28;0;variant_3
1434;ASSEMBLY_1;LINE_5_ASSEMBLY1;5113.995332345071;8.952242250511517;8.952242250511517;8.952242250511517;2;20;57.246176948420725;experiment;FIFO;0.28;0;variant_3
1423;INSPECTION_5;INSPECTION_5_LINE_1;5114.213058560111;0.6666843376060569;0.6666843376060569;40.679518697075764;10;20;2.745739586399395;experiment;FIFO;0.28;0;variant_2
1420;INSPECTION_6;INSPECTION_6_LINE_2;5114.605530946487;3.615444441093132;3.615444441093132;42.96312718449008;11;20;0.20533575021363504;experiment;FIFO;0.28;0;variant_4
1420;INSPECTION_7;INSPECTION_7_LINE_1;5114.810866696701;0.20533575021363504;0.20533575021363504;43.16846293470371;12;19;0.0;experiment;FIFO;0.28;0;variant_4
1418;SORTING;SORTING_ROBOT_1;5115.050299900052;6.848613597298936;15.998206906035193;57.278699492402666;4;19;13.866423399589621;experiment;FIFO;0.28;0;variant_3
1429;ASSEMBLY_2;ASSEMBLY2_LINE_2;5115.592030179164;11.22341655888431;11.957046575239474;31.898911720992146;3;19;48.71092195387337;experiment;FIFO;0.28;0;variant_4
1434;ASSEMBLY_2;ASSEMBLY2_LINE_1;5116.537579947446;2.542247602375028;2.542247602375028;11.494489852886545;3;19;54.7039293460457;experiment;FIFO;0.28;0;variant_3
1423;INSPECTION_6;INSPECTION_6_LINE_1;5116.952967730557;2.739909170446481;2.739909170446481;43.419427867522245;11;19;0.005830415952914336;experiment;FIFO;0.28;0;variant_2
1423;INSPECTION_7;INSPECTION_7_LINE_2;5116.95879814651;0.005830415952914336;0.005830415952914336;43.42525828347516;12;18;0.0;experiment;FIFO;0.28;0;variant_2
1426;SORTING;SORTING_ROBOT_1;5117.23643309181;2.1861331917580173;17.912542630880125;38.32358786374789;4;18;14.92504021714467;experiment;FIFO;0.28;0;variant_3
1424;SORTING;SORTING_ROBOT_1;5118.405843386903;1.1694102950932574;17.833620285902725;44.342265770636004;4;18;9.174334060313413;experiment;FIFO;0.28;0;variant_4
1426;PACKAGING;PACKAGING_LINE_2;5119.0131972499785;1.7767641581685893;1.7767641581685893;40.10035202191648;5;18;13.14827605897608;experiment;FIFO;0.28;0;variant_3
1438;MOULDING;MOULDING_MACHINE_3;5119.147735232891;6.668777341739769;0.0;0.0;1;19;50.407857031194;experiment;FIFO;0.28;0;variant_3
1414;INSPECTION_5;INSPECTION_5_LINE_2;5119.189878428862;5.415856998251911;5.415856998251911;66.64671279071172;10;19;0.5270601294714652;experiment;FIFO;0.28;0;variant_3
1414;INSPECTION_6;INSPECTION_6_LINE_2;5119.419278324772;0.22939989590940968;0.22939989590940968;66.87611268662113;11;19;0.2976602335620555;experiment;FIFO;0.28;0;variant_3
