Case ID;Activity;Resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;simulation_run;process;method
823;ASSEMBLY_2;ASSEMBLY2_LINE_2;3019.1251112458667;0.4184133841708899;0.0;0.0;1;1;5.814789150661909;0;variant_2;FIFO
823;SORTING;SORTING_ROBOT;3019.419597045408;0.2944857995412349;0.2944857995412349;0.2944857995412349;2;1;5.520303351120674;0;variant_2;FIFO
815;PACKAGING;PACKAGING_LINE_1;3019.8085562653782;2.310598019993904;0.0;0.0;1;1;0.0;0;variant_12;FIFO
825;MOULDING;MOULDING_MACHINE_4;3023.206294156534;2.0876439014932657;0.0;0.0;1;2;39.353321333672284;0;variant_3;FIFO
820;ASSEMBLY_1;LINE_5_ASSEMBLY1;3023.567973017743;2.4532912625463723;0.0;0.0;1;3;18.04122887290214;0;variant_10;FIFO
820;ASSEMBLY_2;ASSEMBLY2_LINE_2;3024.277327631906;0.7093546141627485;0.7093546141627485;0.7093546141627485;2;3;17.33187425873939;0;variant_10;FIFO
826;MOULDING;MOULDING_MACHINE_2;3024.7671651159685;0.16741623207826706;0.0;0.0;1;4;14.829303921902465;0;variant_17;FIFO
823;PACKAGING;PACKAGING_LINE_3;3024.9399003965286;5.520303351120674;5.520303351120674;5.814789150661909;3;3;0.0;0;variant_2;FIFO
824;MOULDING;MOULDING_MACHINE_3;3026.3358352225446;5.243773819250237;0.0;0.0;1;4;42.45320618557298;0;variant_5;FIFO
825;ASSEMBLY_1;LINE_4_ASSEMBLY1;3027.45636573613;4.250071579595897;4.250071579595897;4.250071579595897;2;4;35.10324975407639;0;variant_3;FIFO
821;ASSEMBLY_2;ASSEMBLY2_LINE_1;3028.480120573703;6.384540216573441;0.0;0.0;1;5;10.434334232437777;0;variant_12;FIFO
818;ASSEMBLY_2;ASSEMBLY2_LINE_2;3029.7051753045034;2.6248657542114415;0.0;0.0;1;6;8.929776067490366;0;variant_3;FIFO
826;ASSEMBLY_1;LINE_1_ASSEMBLY1;3030.228462664229;5.461297548260518;5.461297548260518;5.461297548260518;2;6;9.368006373641947;0;variant_17;FIFO
822;ASSEMBLY_1;LINE_2_ASSEMBLY1;3032.202691019725;7.949320427767361;0.0;0.0;1;7;23.995974043887145;0;variant_15;FIFO
827;MOULDING;MOULDING_MACHINE_5;3032.708830460766;3.1776360731714703;0.0;0.0;1;8;14.326001826302218;0;variant_6;FIFO
827;ASSEMBLY_1;LINE_3_ASSEMBLY1;3033.1341314145443;0.42530095377833277;0.42530095377833277;0.42530095377833277;2;8;13.900700872523885;0;variant_6;FIFO
824;ASSEMBLY_1;LINE_5_ASSEMBLY1;3033.440829287657;7.104994065112351;7.104994065112351;7.104994065112351;2;8;35.34821212046063;0;variant_5;FIFO
826;ASSEMBLY_2;ASSEMBLY2_LINE_2;3034.4344155006675;4.205952836438428;4.205952836438428;9.667250384698946;3;8;5.162053537203519;0;variant_17;FIFO
820;SORTING;SORTING_ROBOT;3035.173598688964;10.89627105705813;10.89627105705813;11.605625671220878;3;8;6.4356032016812605;0;variant_10;FIFO
821;SORTING;SORTING_ROBOT;3035.8232637429683;0.6496650540043447;7.343143169265204;7.343143169265204;2;8;3.091191063172573;0;variant_12;FIFO
828;MOULDING;MOULDING_MACHINE_4;3036.312152379583;5.767887451022034;0.0;0.0;1;9;20.173187577188855;0;variant_12;FIFO
818;SORTING;SORTING_ROBOT;3036.558876483112;0.7356127401435515;6.8537011786083895;6.8537011786083895;2;9;2.076074888881976;0;variant_3;FIFO
822;ASSEMBLY_2;ASSEMBLY2_LINE_2;3036.618952879151;2.184537378483583;4.416261859425958;4.416261859425958;2;9;19.579712184461187;0;variant_15;FIFO
828;ASSEMBLY_1;LINE_4_ASSEMBLY1;3037.165584782723;0.8534324031397773;0.8534324031397773;0.8534324031397773;2;9;19.319755174049078;0;variant_12;FIFO
827;ASSEMBLY_2;ASSEMBLY2_LINE_2;3038.444732737467;1.8257798583158547;5.310601322922594;5.7359022767009264;3;9;8.590099549601291;0;variant_6;FIFO
818;PACKAGING;PACKAGING_LINE_3;3038.634951371994;2.076074888881976;2.076074888881976;8.929776067490366;3;8;0.0;0;variant_3;FIFO
821;PACKAGING;PACKAGING_LINE_2;3038.914454806141;3.091191063172573;3.091191063172573;10.434334232437777;3;7;0.0;0;variant_12;FIFO
826;SORTING;SORTING_ROBOT;3038.949333366922;2.3904568838102023;4.514917866254564;14.18216825095351;4;7;0.6471356709489555;0;variant_17;FIFO
826;PACKAGING;PACKAGING_LINE_3;3039.596469037871;0.6471356709489555;0.6471356709489555;14.829303921902465;5;6;0.0;0;variant_17;FIFO
829;MOULDING;MOULDING_MACHINE_1;3040.979548930376;3.0030731291080883;0.0;0.0;1;7;22.868563851744057;0;variant_14;FIFO
