Case ID;Activity;Resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;simulation_run;process;method
869;MOULDING_4;MOULDING_MACHINE_4;3022.994127337912;0.49165489583538147;0.0;0.0;1;1;60.96821816996135;0;variant_3;FIFO
832;ASSEMBLY_2_2;ASSEMBLY2_LINE_2;3023.059764248547;0.2656070643365638;0.0;0.0;1;2;9.062109239388064;0;variant_1;FIFO
826;ASSEMBLY_2_2;ASSEMBLY2_LINE_2;3024.1039298896003;1.044165641053496;0.0;0.0;1;3;11.559921378395757;0;variant_8;FIFO
850;SORTING;SORTING_ROBOT;3024.669865335376;6.202895548813558;0.0;0.0;1;4;10.321343214416174;0;variant_1;FIFO
854;ASSEMBLY_2_1;ASSEMBLY2_LINE_1;3024.7849588877084;6.31798910114594;0.0;0.0;1;5;27.827647014202284;0;variant_16;FIFO
828;SORTING;SORTING_ROBOT;3026.914219154964;2.2443538195880137;0.0;0.0;1;6;11.374182559427936;0;variant_14;FIFO
870;MOULDING_2;MOULDING_MACHINE_2;3028.688928231448;0.21643255121261973;0.0;0.0;1;7;159.81556431873923;0;variant_18;FIFO
832;SORTING;SORTING_ROBOT;3030.239354367532;3.325135212568057;7.179590118985288;7.179590118985288;2;7;1.882519120402776;0;variant_1;FIFO
867;ASSEMBLY_1_4;LINE_4_ASSEMBLY1;3030.424572826203;8.3733210452815;0.0;0.0;1;8;142.65205867980785;0;variant_6;FIFO
826;SORTING;SORTING_ROBOT;3030.551770738;0.3124163704678722;6.4478408483996645;6.4478408483996645;2;8;5.112080529996092;0;variant_8;FIFO
871;MOULDING_5;MOULDING_MACHINE_5;3030.873694301189;0.5713051768270816;0.0;0.0;1;9;146.53835317418498;0;variant_12;FIFO
851;ASSEMBLY_2_1;ASSEMBLY2_LINE_1;3031.04989861165;6.264939723941552;0.0;0.0;1;10;37.73723211780498;0;variant_15;FIFO
871;ASSEMBLY_1_5;LINE_5_ASSEMBLY1;3031.2045511338174;0.3308568326283421;0.3308568326283421;0.3308568326283421;2;10;146.20749634155663;0;variant_12;FIFO
832;PACKAGING_3;PACKAGING_LINE_3;3032.121873487935;1.882519120402776;1.882519120402776;9.062109239388064;3;9;0.0;0;variant_1;FIFO
870;ASSEMBLY_1_2;LINE_2_ASSEMBLY1;3032.283415852656;3.5944876212083727;3.5944876212083727;3.5944876212083727;2;9;156.22107669753086;0;variant_18;FIFO
860;ASSEMBLY_2_1;ASSEMBLY2_LINE_1;3033.907770019108;2.8578714074578784;0.0;0.0;1;10;38.395651128309964;0;variant_13;FIFO
850;SORTING;SORTING_ROBOT;3034.5364738150392;3.984703077039285;9.866608479663228;9.866608479663228;2;10;0.4547347347529467;0;variant_1;FIFO
868;MOULDING_1;MOULDING_MACHINE_1;3034.5532900578214;15.319888654321403;0.0;0.0;1;11;62.09793363716017;0;variant_4;FIFO
854;SORTING;SORTING_ROBOT;3034.727137262393;0.19066344735392704;9.942178374684772;9.942178374684772;2;11;17.885468639517512;0;variant_16;FIFO
850;PACKAGING_3;PACKAGING_LINE_3;3034.991208549792;0.4547347347529467;0.4547347347529467;10.321343214416174;3;10;0.0;0;variant_1;FIFO
859;ASSEMBLY_2_1;ASSEMBLY2_LINE_1;3035.473965458438;1.5661954393303859;0.0;0.0;1;11;13.587020945392851;0;variant_14;FIFO
826;PACKAGING_1;PACKAGING_LINE_1;3035.663851267996;5.112080529996092;5.112080529996092;11.559921378395757;3;10;0.0;0;variant_8;FIFO
874;MOULDING_1;MOULDING_MACHINE_1;3036.6398013231583;1.6395854334732576;0.0;0.0;1;11;165.91714226771364;0;variant_17;FIFO
828;SORTING;SORTING_ROBOT;3037.410031411981;2.68289414958781;10.49581225701695;10.49581225701695;2;11;0.8783703024109855;0;variant_14;FIFO
855;ASSEMBLY_2_1;ASSEMBLY2_LINE_1;3037.753632915702;2.279667457263713;0.0;0.0;1;12;8.008329984962074;0;variant_8;FIFO
828;PACKAGING_3;PACKAGING_LINE_3;3038.288401714392;0.8783703024109855;0.8783703024109855;11.374182559427936;3;11;0.0;0;variant_14;FIFO
869;ASSEMBLY_1_4;LINE_4_ASSEMBLY1;3038.622494254844;8.197921428640711;15.62836691693201;15.62836691693201;2;11;45.33985125302934;0;variant_3;FIFO
875;MOULDING_5;MOULDING_MACHINE_5;3038.6667378859543;1.1696054678650398;0.0;0.0;1;12;59.52482272896077;0;variant_2;FIFO
859;SORTING;SORTING_ROBOT;3038.8003393518493;1.3903079398683076;3.3263738934110734;3.3263738934110734;2;12;10.260647051981778;0;variant_14;FIFO
855;SORTING;SORTING_ROBOT;3038.840539762014;0.040200410164743516;1.0869068463121039;1.0869068463121039;2;12;6.9214231386499705;0;variant_8;FIFO
868;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;3038.95551601169;4.402225953868765;4.402225953868765;4.402225953868765;2;12;57.6957076832914;0;variant_4;FIFO
830;ASSEMBLY_2_2;ASSEMBLY2_LINE_2;3040.061942533476;15.958012643875918;0.0;0.0;1;13;21.09398420909565;0;variant_5;FIFO
875;ASSEMBLY_1_5;LINE_5_ASSEMBLY1;3040.5803093345294;1.9135714485751123;1.9135714485751123;1.9135714485751123;2;13;57.61125128038566;0;variant_2;FIFO
874;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;3041.727821200081;2.772305188390874;5.088019876922772;5.088019876922772;2;13;160.82912239079087;0;variant_17;FIFO
877;MOULDING_4;MOULDING_MACHINE_4;3042.38254034545;0.18578496088957763;0.0;0.0;1;14;158.1803946350774;0;variant_12;FIFO
872;MOULDING_2;MOULDING_MACHINE_2;3042.6219707128266;10.13050084686165;0.0;0.0;1;15;151.6870091328483;0;variant_18;FIFO
854;PACKAGING_1;PACKAGING_LINE_1;3043.0565782449235;7.392726976927406;8.329440982530286;18.27161935721506;3;15;9.556027656987226;0;variant_16;FIFO
876;MOULDING_1;MOULDING_MACHINE_1;3043.1241279308306;2.032661840592482;0.0;0.0;1;16;163.7301669630615;0;variant_6;FIFO
866;ASSEMBLY_2_1;ASSEMBLY2_LINE_1;3043.285210565844;5.531577650142026;0.0;0.0;1;17;11.061615784169135;0;variant_14;FIFO
872;ASSEMBLY_1_2;LINE_2_ASSEMBLY1;3043.426464765216;0.8044940523896003;0.8044940523896003;0.8044940523896003;2;17;150.8825150804587;0;variant_18;FIFO
