Case ID;Activity;Resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;simulation_run;process;method
840;MOULDING;MOULDING_MACHINE_5;3020.248344686632;1.1505038572800004;0.0;0.0;1;1;75.38989992625557;0;variant_6;FIFO
837;MOULDING;MOULDING_MACHINE_1;3020.314887417474;2.1193504608395415;0.0;0.0;1;2;81.82444525317669;0;variant_12;FIFO
841;MOULDING;MOULDING_MACHINE_4;3020.8792762232742;1.1697661769221668;0.0;0.0;1;3;93.31018143366964;0;variant_3;FIFO
840;ASSEMBLY_1_5;LINE_5_ASSEMBLY1;3023.306279586061;1.247479204812862;3.057934899428801;3.057934899428801;2;3;72.33196502682677;0;variant_6;FIFO
837;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;3023.6752944272744;3.360407009800383;3.360407009800383;3.360407009800383;2;3;78.46403824337631;0;variant_12;FIFO
838;MOULDING;MOULDING_MACHINE_3;3024.532688598196;6.307904075910756;0.0;0.0;1;4;73.68900910730645;0;variant_5;FIFO
838;ASSEMBLY_1_3;LINE_3_ASSEMBLY1;3025.235135302112;0.7024467039163937;0.7024467039163937;0.7024467039163937;2;4;72.98656240339005;0;variant_5;FIFO
839;MOULDING;MOULDING_MACHINE_2;3026.5214346408466;7.763083422765703;0.0;0.0;1;5;88.8443670411416;0;variant_2;FIFO
822;PACKAGING;PACKAGING_LINE_2;3027.6180265826047;3.819912550648496;0.0;0.0;1;5;0.0;0;variant_12;FIFO
842;MOULDING;MOULDING_MACHINE_5;3029.6215178352463;0.14733262124991597;0.0;0.0;1;6;77.00362772989001;0;variant_6;FIFO
828;ASSEMBLY_2;ASSEMBLY2_LINE_1;3030.5113770940834;7.017652844812346;0.0;0.0;1;7;14.926333028295176;0;variant_18;FIFO
825;SORTING;SORTING_ROBOT;3030.92890424858;7.130790216623609;0.0;0.0;1;8;1.2884972919132451;0;variant_4;FIFO
825;PACKAGING;PACKAGING_LINE_1;3032.217401540493;1.2884972919132451;1.2884972919132451;1.2884972919132451;2;7;0.0;0;variant_4;FIFO
842;ASSEMBLY_1_5;LINE_5_ASSEMBLY1;3032.6289398126164;3.007421977370086;3.007421977370086;3.007421977370086;2;7;73.99620575251993;0;variant_6;FIFO
843;MOULDING;MOULDING_MACHINE_1;3034.104734794559;3.390048736179324;0.0;0.0;1;8;89.3236648177458;0;variant_16;FIFO
824;SORTING;SORTING_ROBOT;3034.3158917219416;3.3869874733618417;0.0;0.0;1;9;1.842832685837493;0;variant_15;FIFO
846;MOULDING;MOULDING_MACHINE_2;3035.598382344476;0.786829475671766;0.0;0.0;1;10;103.04248793046372;0;variant_17;FIFO
