Case ID;Activity;Resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;simulation_run;process;method
814;ASSEMBLY_2;ASSEMBLY2_LINE_1;3017.505738720514;0.5060252136872805;0.0;0.0;1;1;14.854150364814359;0;variant_16;FIFO
822;MOULDING;MOULDING_MACHINE_3;3017.7451012415268;0.06441055993036571;0.0;0.0;1;2;47.31857746395008;0;variant_6;FIFO
812;SORTING;SORTING_ROBOT_1;3018.530680522841;1.5309670160145288;0.0;0.0;1;3;7.791906245972768;0;variant_12;FIFO
814;SORTING;SORTING_ROBOT_1;3019.3499117607867;0.819231237945587;1.8441730402728354;1.8441730402728354;2;3;13.009977324541524;0;variant_16;FIFO
818;ASSEMBLY_2;ASSEMBLY2_LINE_1;3020.760027353508;3.254288632994303;0.0;0.0;1;4;18.66981971890891;0;variant_16;FIFO
816;SORTING;SORTING_ROBOT_1;3021.56867970956;1.4791897424925082;0.0;0.0;1;5;13.688407323541014;0;variant_15;FIFO
818;SORTING;SORTING_ROBOT_1;3021.835625302741;0.26694559318093525;1.0755979492328152;1.0755979492328152;2;5;17.594221769676096;0;variant_16;FIFO
812;PACKAGING;PACKAGING_LINE_1;3022.9652943594247;4.434613836583594;4.434613836583594;4.434613836583594;2;5;3.3572924093891743;0;variant_12;FIFO
812;INSPECTION_1;INSPECTION_1_LINE_2;3023.9560819626176;0.9907876031929845;0.9907876031929845;5.425401439776579;3;5;2.3665048061961897;0;variant_12;FIFO
821;ASSEMBLY_1;LINE_ASSEMBLY1_1;3024.046916714327;1.458283445980669;0.0;0.0;1;6;21.94150604755896;0;variant_11;FIFO
812;INSPECTION_2;INSPECTION_2_LINE_2;3024.275207329308;0.31912536669051406;0.31912536669051406;5.744526806467093;4;6;2.0473794395056757;0;variant_12;FIFO
820;ASSEMBLY_1;LINE_ASSEMBLY1_2;3025.6801896530533;6.293503173872978;0.0;0.0;1;7;27.8868302954088;0;variant_18;FIFO
814;PACKAGING;PACKAGING_LINE_2;3025.7509010444173;6.400989283630679;6.400989283630679;8.245162323903514;3;7;6.608988040910845;0;variant_16;FIFO
819;ASSEMBLY_1;LINE_ASSEMBLY1_5;3026.119570401312;1.3564034047658424;0.0;0.0;1;8;79.48938893185596;0;variant_1;FIFO
812;INSPECTION_3;INSPECTION_3_LINE_1;3026.322586768814;2.0473794395056757;2.0473794395056757;7.791906245972768;5;7;0.0;0;variant_12;FIFO
805;INSPECTION_1;INSPECTION_1_LINE_1;3026.480995904817;1.3211941273211778;0.0;0.0;1;8;1.2763638249725773;0;variant_18;FIFO
817;ASSEMBLY_1;LINE_ASSEMBLY1_4;3026.820769720573;0.6897069661722526;0.0;0.0;1;9;58.28566845752766;0;variant_3;FIFO
805;INSPECTION_2;INSPECTION_2_LINE_1;3027.0695943611167;0.5885984562996782;0.5885984562996782;0.5885984562996782;2;9;0.6877653686728991;0;variant_18;FIFO
824;MOULDING;MOULDING_MACHINE_2;3027.1375610085447;1.1555456928190324;0.0;0.0;1;10;58.59733633297037;0;variant_8;FIFO
805;INSPECTION_3;INSPECTION_3_LINE_2;3027.7573597297896;0.6877653686728991;0.6877653686728991;1.2763638249725773;3;9;0.0;0;variant_18;FIFO
822;ASSEMBLY_1;LINE_ASSEMBLY1_3;3028.72142981311;10.976328571583053;10.976328571583053;10.976328571583053;2;9;36.342248892367024;0;variant_6;FIFO
818;PACKAGING;PACKAGING_LINE_3;3029.284557629826;4.124755852330054;7.448932327085004;8.524530276317819;3;9;10.145289442591093;0;variant_16;FIFO
814;INSPECTION_1;INSPECTION_1_LINE_2;3030.292354869545;4.541453825127519;4.541453825127519;12.786616149031033;4;9;2.0675342157833256;0;variant_16;FIFO
814;INSPECTION_2;INSPECTION_2_LINE_2;3031.015035257802;0.7226803882572312;0.7226803882572312;13.509296537288265;5;9;1.3448538275260944;0;variant_16;FIFO
823;MOULDING;MOULDING_MACHINE_3;3031.833778740449;6.989141817629843;0.0;0.0;1;10;41.59235834290985;0;variant_1;FIFO
814;INSPECTION_3;INSPECTION_3_LINE_1;3032.359889085328;1.3448538275260944;1.3448538275260944;14.854150364814359;6;9;0.0;0;variant_16;FIFO
816;PACKAGING;PACKAGING_LINE_1;3032.80097325148;9.835678892055512;11.232293541920171;11.232293541920171;2;9;2.456113781620843;0;variant_15;FIFO
823;ASSEMBLY_1;LINE_ASSEMBLY1_2;3033.164990815884;1.3312120754349053;1.3312120754349053;1.3312120754349053;2;9;40.26114626747494;0;variant_1;FIFO
816;INSPECTION_1;INSPECTION_1_LINE_2;3033.191503144356;0.39052989287574746;0.39052989287574746;11.622823434795919;3;9;2.0655838887450955;0;variant_15;FIFO
821;ASSEMBLY_2;ASSEMBLY2_LINE_1;3033.2003055970804;9.153388882753461;9.153388882753461;9.153388882753461;2;9;12.788117164805499;0;variant_11;FIFO
816;INSPECTION_2;INSPECTION_2_LINE_1;3033.3205948301616;0.12909168580563346;0.12909168580563346;11.751915120601552;4;9;1.936492202939462;0;variant_15;FIFO
824;ASSEMBLY_1;LINE_ASSEMBLY1_1;3034.01768144088;6.880120432335389;6.880120432335389;6.880120432335389;2;9;51.71721590063498;0;variant_8;FIFO
