case_id,timestamp,activity,resource,status,prefix_index,elapsed_time,remaining_time,case_start_time,case_complete_time,method,l,simulation_run
5164,18672.76720992776,END,,COMPLETE,18,65.90656648929871,0.0,18606.86064343846,18672.76720992776,FIFO,0.0155555555555555,0
5165,18606.87883683896,START,,START,1,0.0,80.16720948493821,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18606.87883683896,MOULDING,,queued,2,0.0,80.16720948493821,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18607.466679413286,MOULDING,MOULDING_MACHINE_1,running,3,0.5878425743248954,79.57936691061332,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18611.09925819473,QC_AFTER_MOULDING,,gateway,4,4.22042135576703,75.94678812917118,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18611.09925819473,ROUTE_TO_A1,,gateway,5,4.22042135576703,75.94678812917118,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18611.09925819473,ASSEMBLY_1_1,,queued,6,4.22042135576703,75.94678812917118,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18611.09925819473,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,running,7,4.22042135576703,75.94678812917118,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18622.48864795249,QC_AFTER_ASSEMBLY1_1,,gateway,8,15.609811113528849,64.55739837140936,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18622.48864795249,ASSEMBLY_2,,queued,9,15.609811113528849,64.55739837140936,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18628.577055259226,ASSEMBLY_2,ASSEMBLY2_LINE_1,running,10,21.69821842026431,58.4689910646739,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18631.467543720424,QC_AFTER_ASSEMBLY2,,gateway,11,24.588706881462713,55.5785026034755,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
5165,18631.467543720424,SORTING,,queued,12,24.588706881462713,55.5785026034755,18606.87883683896,18687.0460463239,FIFO,0.0155555555555555,0
