case_id,activity,resource,timestamp,activity_duration,prefix_index,timesincelastevent,elapsed_time,remaining_time,open_cases,case_start_time,case_complete_time,method,l,simulation_run,process
869,MOULDING_4,MOULDING_MACHINE_4,3022.994127337912,0.49165489583538147,1,0.0,0.0,60.96821816996135,1,3022.994127337912,3083.962345507873,FIFO,0.0155555555555555,0,variant_3
870,MOULDING_2,MOULDING_MACHINE_2,3028.688928231448,0.21643255121261973,1,0.0,0.0,159.81556431873923,2,3028.688928231448,3188.504492550187,FIFO,0.0155555555555555,0,variant_18
871,MOULDING_5,MOULDING_MACHINE_5,3030.873694301189,0.5713051768270816,1,0.0,0.0,146.53835317418498,3,3030.873694301189,3177.412047475374,FIFO,0.0155555555555555,0,variant_12
871,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,3031.2045511338174,0.3308568326283421,2,0.3308568326283421,0.3308568326283421,146.20749634155663,3,3030.873694301189,3177.412047475374,FIFO,0.0155555555555555,0,variant_12
870,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,3032.283415852656,3.5944876212083727,2,3.5944876212083727,3.5944876212083727,156.22107669753086,3,3028.688928231448,3188.504492550187,FIFO,0.0155555555555555,0,variant_18
868,MOULDING_1,MOULDING_MACHINE_1,3034.5532900578214,15.319888654321403,1,0.0,0.0,62.09793363716017,4,3034.5532900578214,3096.6512236949816,FIFO,0.0155555555555555,0,variant_4
874,MOULDING_1,MOULDING_MACHINE_1,3036.6398013231583,1.6395854334732576,1,0.0,0.0,165.91714226771364,5,3036.6398013231583,3202.556943590872,FIFO,0.0155555555555555,0,variant_17
869,ASSEMBLY_1_4,LINE_4_ASSEMBLY1,3038.622494254844,8.197921428640711,2,15.62836691693201,15.62836691693201,45.33985125302934,5,3022.994127337912,3083.962345507873,FIFO,0.0155555555555555,0,variant_3
875,MOULDING_5,MOULDING_MACHINE_5,3038.6667378859543,1.1696054678650398,1,0.0,0.0,59.52482272896077,6,3038.6667378859543,3098.191560614915,FIFO,0.0155555555555555,0,variant_2
868,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,3038.95551601169,4.402225953868765,2,4.402225953868765,4.402225953868765,57.6957076832914,6,3034.5532900578214,3096.6512236949816,FIFO,0.0155555555555555,0,variant_4
875,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,3040.5803093345294,1.9135714485751123,2,1.9135714485751123,1.9135714485751123,57.61125128038566,6,3038.6667378859543,3098.191560614915,FIFO,0.0155555555555555,0,variant_2
874,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,3041.727821200081,2.772305188390874,2,5.088019876922772,5.088019876922772,160.82912239079087,6,3036.6398013231583,3202.556943590872,FIFO,0.0155555555555555,0,variant_17
877,MOULDING_4,MOULDING_MACHINE_4,3042.38254034545,0.18578496088957763,1,0.0,0.0,158.1803946350774,7,3042.38254034545,3200.562934980527,FIFO,0.0155555555555555,0,variant_12
872,MOULDING_2,MOULDING_MACHINE_2,3042.6219707128266,10.13050084686165,1,0.0,0.0,151.6870091328483,8,3042.6219707128266,3194.308979845675,FIFO,0.0155555555555555,0,variant_18
